"ParamID","pK","MeanBC","VarBC","BCmetric"
1,"0.005",0.753016550320919,0.00334963592271527,224.805491610118
2,"0.01",0.772529003066305,0.000976961435541631,790.746671221482
3,"0.02",0.789561745991239,0.00137458884073214,574.39848381913
4,"0.03",0.770796453093206,0.00218365514204088,352.984515848416
5,"0.04",0.739987461796061,0.00336413641334327,219.963571887581
6,"0.05",0.681971571809079,0.00269846710429892,252.725545819192
7,"0.06",0.650674199310511,0.0122443778046202,53.1406503207529
8,"0.07",0.654612053135982,0.0116432783677517,56.2223140648306
9,"0.08",0.665154342479522,0.0142512172583509,46.6735107900875
10,"0.09",0.670881024264726,0.0119510129263337,56.1359131983246
11,"0.1",0.658391036730805,0.00846846036789721,77.7462499826622
12,"0.11",0.638956202492745,0.00553761003340078,115.38483183879
13,"0.12",0.621957510789171,0.00255465306951102,243.460655465134
14,"0.13",0.610313744280844,0.0019850766630769,307.450969341833
15,"0.14",0.593229244585924,0.0021947726842902,270.291884363313
16,"0.15",0.588104417910682,0.00248726451237029,236.446270585928
17,"0.16",0.581603362540245,0.00270327861916299,215.147398576446
18,"0.17",0.574737322351156,0.0026940013942269,213.339652898022
19,"0.18",0.572564772392734,0.00238410247200188,240.159464249858
20,"0.19",0.575374758765452,0.00207554957450713,277.215618375236
21,"0.2",0.575372499005537,0.00205333237443223,280.214010244997
22,"0.21",0.573636819998946,0.00227644307822442,251.988211559576
23,"0.22",0.571217093637378,0.00251827849092964,226.828405077038
24,"0.23",0.562721651715961,0.00246452276576397,228.328851140284
25,"0.24",0.561664883510448,0.00166476025847786,337.384846046238
26,"0.25",0.557137635634208,0.00159701892278321,348.86101077829
27,"0.26",0.547989835145129,0.000913525000641703,599.862986519466
28,"0.27",0.53573256847804,0.000931808303061561,574.938607777834
29,"0.28",0.533868748278058,0.000667124849525981,800.253129016845
30,"0.29",0.525190505689357,0.000225034163639432,2333.82566093769
31,"0.3",0.527291662002844,0.000747060512365102,705.821888957165
