"ParamID","pK","MeanBC","VarBC","BCmetric"
1,"0.005",0.787158158157873,0.00420914603982255,187.011367795416
2,"0.01",0.766258432188707,0.000614200676258964,1247.57015387204
3,"0.02",0.706149387114697,0.0124627373772956,56.6608575417103
4,"0.03",0.633688309942744,0.0186314507287313,34.0117535219918
5,"0.04",0.591024959481822,0.0192296991611561,30.7350081001626
6,"0.05",0.568587342368442,0.0160743030717459,35.3724413326422
7,"0.06",0.541802127626261,0.00988936018579062,54.7863681216446
8,"0.07",0.522967117432568,0.00368179098838798,142.041500748401
9,"0.08",0.513376288005281,0.00143173624904758,358.569036962492
10,"0.09",0.517831561650262,0.00083197056106342,622.415727052136
11,"0.1",0.509696316558291,0.00155905165186776,326.927152123324
12,"0.11",0.511269534239392,0.00244854938720698,208.805073285692
13,"0.12",0.524259442124591,0.00315623388851942,166.102849358391
14,"0.13",0.525902701909316,0.00380850839010918,138.086265813436
15,"0.14",0.546531733154828,0.0035090736416149,155.748151498841
16,"0.15",0.561353899798953,0.00359581398775219,156.113164282412
17,"0.16",0.580289150665214,0.00335820197144938,172.797573105696
18,"0.17",0.601178090554108,0.00345977425679181,173.762230114855
19,"0.18",0.60708200257384,0.00486469462579312,124.793445277125
20,"0.19",0.611308788805496,0.00691993480143145,88.340252668138
21,"0.2",0.607369963480604,0.0108665663751601,55.8934572809487
22,"0.21",0.596586296042334,0.0134188508073052,44.4588217433309
23,"0.22",0.576415660170418,0.0135595936897836,42.5098032697482
24,"0.23",0.565050027544269,0.0132006873586717,42.8045913210026
25,"0.24",0.554065273041051,0.0107796388997423,51.3992424230739
26,"0.25",0.561522895080056,0.00760533836670926,73.8327301173084
27,"0.26",0.568489209023681,0.00719822093353859,78.9763490552125
28,"0.27",0.563001557507105,0.00552692077168743,101.865320811396
29,"0.28",0.56790685740885,0.00406142988358612,139.829290099034
30,"0.29",0.586558614613265,0.0011926786694475,491.799366953534
31,"0.3",0.604129705193892,0.000708654295050144,852.502707474798
