"ParamID","pK","MeanBC","VarBC","BCmetric"
1,"0.005",0.768403521428506,0.000420779714988526,1826.14202647449
2,"0.01",0.796806107804876,0.0015459091707193,515.428799373854
3,"0.02",0.80505635188599,0.000737949131765646,1090.93746063469
4,"0.03",0.747902876298878,0.00249592750647863,299.649278417567
5,"0.04",0.706101822185941,0.00362273748361927,194.908360149937
6,"0.05",0.688128174978988,0.0050913543035587,135.156214624075
7,"0.06",0.673823618921611,0.00507213177486834,132.848208372721
8,"0.07",0.661926788887687,0.00350752975706872,188.715943907164
9,"0.08",0.654177473943347,0.00183902415042024,355.719892962721
10,"0.09",0.652804340820545,0.000876781102167489,744.546545547969
11,"0.1",0.653440105867071,0.000932522836599412,700.722899451922
12,"0.11",0.648628367878431,0.000674430070412369,961.742953545707
13,"0.12",0.642888211879449,0.00100402488130096,640.311035963999
14,"0.13",0.639575287811814,0.00122041506832925,524.063742254014
15,"0.14",0.636458755596134,0.00133220026953961,477.750057666695
16,"0.15",0.63063679594553,0.00129575420137975,486.694772260059
17,"0.16",0.627379720314828,0.00130705099610079,479.996359886827
18,"0.17",0.620229084069572,0.00088875100130427,697.865975013661
19,"0.18",0.614264045043412,0.000746334711720086,823.040969952625
20,"0.19",0.609624183506003,0.000576612376116737,1057.2512987175
21,"0.2",0.604947677481769,0.00023998663308466,2520.75571754183
22,"0.21",0.603692824272651,0.000205771199306937,2933.80621926666
23,"0.22",0.601715151923426,0.000178709664458217,3366.99838672748
24,"0.23",0.599646112281892,0.000302999652814335,1979.03234116684
25,"0.24",0.601819660892851,0.00040730495084561,1477.56529755754
26,"0.25",0.602522933485677,0.000603993941230404,997.564532283667
27,"0.26",0.603260065835754,0.00056078106962107,1075.74969719179
28,"0.27",0.604558595002176,0.000675920858617364,894.422160959549
29,"0.28",0.606780257283737,0.00072993707005213,831.277492510967
30,"0.29",0.610233418231267,0.000719447012256583,848.197862851967
31,"0.3",0.614593233044115,0.000767239045812914,801.045301849744
