"ParamID","pK","MeanBC","VarBC","BCmetric"
1,"0.005",0.78365932330047,0.00120784033404157,648.810361116405
2,"0.01",0.75641676690934,0.00446875314853382,169.267968439366
3,"0.02",0.735430365303178,0.00616686903686874,119.255064588918
4,"0.03",0.704824621042149,0.0113212497185118,62.2567860056706
5,"0.04",0.703758097872399,0.00989459914578735,71.1254784052596
6,"0.05",0.673677434501402,0.0133295910486378,50.5399927156991
7,"0.06",0.677125271733497,0.0110302075740375,61.3882619332832
8,"0.07",0.671167463195472,0.0103501230652093,64.8463268472158
9,"0.08",0.638005930042491,0.00762813763933884,83.6384921467922
10,"0.09",0.651024320972097,0.00279026093932134,233.320228870939
11,"0.1",0.739258647543744,0.00558358908126595,132.398469297124
12,"0.11",0.743145988141177,0.00375001895316302,198.171261911718
13,"0.12",0.732091838849411,0.00229869737717666,318.481173780514
14,"0.13",0.719171012499018,0.00126577090623444,568.168385729838
15,"0.14",0.704177519920182,0.00123779582327133,568.896345165499
16,"0.15",0.701322621847468,0.00149026891043081,470.601390754858
17,"0.16",0.692530578726394,0.00363115286579783,190.719202501609
18,"0.17",0.685475089408187,0.00650678667034989,105.347712186686
19,"0.18",0.692980309107806,0.00795795175159384,87.0802350578481
20,"0.19",0.703570637373077,0.0090075451452506,78.1090325974163
21,"0.2",0.706639992935793,0.0100041172526824,70.6349171133837
22,"0.21",0.716876716333048,0.00755804513016767,94.849488721847
23,"0.22",0.72207515644497,0.00674472735265929,107.057723565397
24,"0.23",0.725104576436701,0.00569675006950966,127.283901801771
25,"0.24",0.727745862181403,0.00427410862712261,170.268452599281
26,"0.25",0.727507112586915,0.00362721739164541,200.568930404499
27,"0.26",0.727991529831471,0.00357159402009579,203.828185884337
28,"0.27",0.724366966675758,0.00367211089499754,197.261735113325
29,"0.28",0.719389159611168,0.00349773120914639,205.673082519892
30,"0.29",0.717805274513395,0.0033499664714547,214.272375747597
31,"0.3",0.714351689926148,0.00329320730677417,216.91670866171
