gene,folds_selected,in_final_50,consensus_status
MRPL57,1,False,ML_1of3_only
MRPS34,1,False,ML_1of3_only
MSMB,1,False,ML_1of3_only
MT-CO3,1,False,ML_1of3_only
MT-CYB,1,False,ML_1of3_only
MT-ND1,1,False,ML_1of3_only
MT-ND2,1,False,ML_1of3_only
MT-ND3,1,False,ML_1of3_only
MT-ND4,1,False,ML_1of3_only
MT-ND5,1,False,ML_1of3_only
MT1F,1,False,ML_1of3_only
MTARC1,1,False,ML_1of3_only
MTARC2,1,False,ML_1of3_only
MTSS1,1,False,ML_1of3_only
MUC20,1,False,ML_1of3_only
MYADM,1,False,ML_1of3_only
MYL12A,1,False,ML_1of3_only
MYL12B,1,False,ML_1of3_only
MYLIP,1,False,ML_1of3_only
MYO16,1,False,ML_1of3_only
N4BP2,1,False,ML_1of3_only
NAV3,1,False,ML_1of3_only
NAXE,1,False,ML_1of3_only
NBL1,1,False,ML_1of3_only
NCOA3,1,False,ML_1of3_only
NDUFA10,1,False,ML_1of3_only
NDUFB1,1,False,ML_1of3_only
NDUFB8,1,False,ML_1of3_only
NFE2L1,1,False,ML_1of3_only
NFU1,1,False,ML_1of3_only
NINJ1,1,False,ML_1of3_only
NME1,1,False,ML_1of3_only
NME4,1,False,ML_1of3_only
NMNAT3,1,False,ML_1of3_only
NOL3,1,False,ML_1of3_only
NPEPL1,1,False,ML_1of3_only
NPM1,1,False,ML_1of3_only
NR4A1,1,False,ML_1of3_only
NUDT4,1,False,ML_1of3_only
ORM1,1,False,ML_1of3_only
OSBPL8,1,False,ML_1of3_only
OVOL1,1,False,ML_1of3_only
PARM1,1,False,ML_1of3_only
PCP2,1,False,ML_1of3_only
PDLIM1,1,False,ML_1of3_only
PHB,1,False,ML_1of3_only
PHLDA2,1,False,ML_1of3_only
PIGP,1,False,ML_1of3_only
PIGS,1,False,ML_1of3_only
PIGT,1,False,ML_1of3_only
PIGX,1,False,ML_1of3_only
PLAAT2,1,False,ML_1of3_only
PLAAT4,1,False,ML_1of3_only
PLPPR3,1,False,ML_1of3_only
PLXNA2,1,False,ML_1of3_only
PMVK,1,False,ML_1of3_only
POLD4,1,False,ML_1of3_only
POLDIP2,1,False,ML_1of3_only
PPCS,1,False,ML_1of3_only
PPM1K,1,False,ML_1of3_only
PPP1R1B,1,False,ML_1of3_only
PPP2R5A,1,False,ML_1of3_only
PREX1,1,False,ML_1of3_only
PRXL2A,1,False,ML_1of3_only
PTGES3,1,False,ML_1of3_only
RAB11FIP1,1,False,ML_1of3_only
RABAC1,1,False,ML_1of3_only
RABEP1,1,False,ML_1of3_only
RADIL,1,False,ML_1of3_only
RAMP3,1,False,ML_1of3_only
RASD1,1,False,ML_1of3_only
RBL2,1,False,ML_1of3_only
RBM47,1,False,ML_1of3_only
RBX1,1,False,ML_1of3_only
RCC1L,1,False,ML_1of3_only
REX1BD,1,False,ML_1of3_only
RGN,1,False,ML_1of3_only
RGS10,1,False,ML_1of3_only
RHOBTB3,1,False,ML_1of3_only
RIMS1,1,False,ML_1of3_only
RNASEH2C,1,False,ML_1of3_only
RPL12,1,False,ML_1of3_only
RPL17,1,False,ML_1of3_only
RPL21,1,False,ML_1of3_only
RPL22,1,False,ML_1of3_only
RPL27,1,False,ML_1of3_only
RPL31,1,False,ML_1of3_only
RPL37,1,False,ML_1of3_only
RPN2,1,False,ML_1of3_only
RPS12,1,False,ML_1of3_only
RPS14,1,False,ML_1of3_only
RPS2,1,False,ML_1of3_only
RPS27,1,False,ML_1of3_only
RPS28,1,False,ML_1of3_only
RPS6,1,False,ML_1of3_only
RPS6KB2,1,False,ML_1of3_only
RPS8,1,False,ML_1of3_only
RXYLT1,1,False,ML_1of3_only
S100A13,1,False,ML_1of3_only
S100P,1,False,ML_1of3_only
SARAF,1,False,ML_1of3_only
SAYSD1,1,False,ML_1of3_only
SCAND1,1,False,ML_1of3_only
SCGB2A1,1,False,ML_1of3_only
SCNN1A,1,False,ML_1of3_only
SDF2L1,1,False,ML_1of3_only
SEC61A1,1,False,ML_1of3_only
SEC61G,1,False,ML_1of3_only
SELENOK,1,False,ML_1of3_only
SELENOM,1,False,ML_1of3_only
SELENOS,1,False,ML_1of3_only
SERINC2,1,False,ML_1of3_only
SERINC3,1,False,ML_1of3_only
SERTAD3,1,False,ML_1of3_only
SEZ6L2,1,False,ML_1of3_only
SFXN5,1,False,ML_1of3_only
SH3BGRL,1,False,ML_1of3_only
SHARPIN,1,False,ML_1of3_only
SIAH2,1,False,ML_1of3_only
SIGIRR,1,False,ML_1of3_only
SLC16A6,1,False,ML_1of3_only
SLC17A9,1,False,ML_1of3_only
SLC1A5,1,False,ML_1of3_only
SLC25A1,1,False,ML_1of3_only
SLC25A5,1,False,ML_1of3_only
SLC25A6,1,False,ML_1of3_only
SLC2A4RG,1,False,ML_1of3_only
SLC30A1,1,False,ML_1of3_only
SLC35E3,1,False,ML_1of3_only
SLC40A1,1,False,ML_1of3_only
SLC49A3,1,False,ML_1of3_only
SLC7A5,1,False,ML_1of3_only
SLC9A3R2,1,False,ML_1of3_only
SLIRP,1,False,ML_1of3_only
SLPI,1,False,ML_1of3_only
SMARCD2,1,False,ML_1of3_only
SMCO3,1,False,ML_1of3_only
SMDT1,1,False,ML_1of3_only
SNF8,1,False,ML_1of3_only
SNHG5,1,False,ML_1of3_only
SNRPN,1,False,ML_1of3_only
SPAAR,1,False,ML_1of3_only
SPDEF,1,False,ML_1of3_only
SPOP,1,False,ML_1of3_only
SQLE,1,False,ML_1of3_only
SQOR,1,False,ML_1of3_only
SRARP,1,False,ML_1of3_only
SREBF1,1,False,ML_1of3_only
SRRM3,1,False,ML_1of3_only
SRSF9,1,False,ML_1of3_only
SSR3,1,False,ML_1of3_only
SSR4,1,False,ML_1of3_only
STK24,1,False,ML_1of3_only
STMN3,1,False,ML_1of3_only
STOM,1,False,ML_1of3_only
SUB1,1,False,ML_1of3_only
SUPT4H1,1,False,ML_1of3_only
SYNGR1,1,False,ML_1of3_only
SYP,1,False,ML_1of3_only
SYTL5,1,False,ML_1of3_only
TACO1,1,False,ML_1of3_only
TACSTD2,1,False,ML_1of3_only
TAPBP,1,False,ML_1of3_only
TCEAL3,1,False,ML_1of3_only
TCEAL4,1,False,ML_1of3_only
TCTN1,1,False,ML_1of3_only
TERF2IP,1,False,ML_1of3_only
TFF3,1,False,ML_1of3_only
TFPI2,1,False,ML_1of3_only
TJP3,1,False,ML_1of3_only
TLE5,1,False,ML_1of3_only
TM4SF1,1,False,ML_1of3_only
TMED10,1,False,ML_1of3_only
TMED8,1,False,ML_1of3_only
TMEM123,1,False,ML_1of3_only
TMEM141,1,False,ML_1of3_only
TMEM208,1,False,ML_1of3_only
TMEM97,1,False,ML_1of3_only
TMEM98,1,False,ML_1of3_only
TMEM9B,1,False,ML_1of3_only
TMX4,1,False,ML_1of3_only
TNFSF10,1,False,ML_1of3_only
TNNI3,1,False,ML_1of3_only
TOB1,1,False,ML_1of3_only
TOMM22,1,False,ML_1of3_only
TPBG,1,False,ML_1of3_only
TRAPPC2L,1,False,ML_1of3_only
TRAPPC6A,1,False,ML_1of3_only
TRIP6,1,False,ML_1of3_only
TRPS1,1,False,ML_1of3_only
TSHZ1,1,False,ML_1of3_only
TSPAN1,1,False,ML_1of3_only
TSPAN15,1,False,ML_1of3_only
UBE2S,1,False,ML_1of3_only
UGCG,1,False,ML_1of3_only
UQCC3,1,False,ML_1of3_only
UQCR11,1,False,ML_1of3_only
UQCRQ,1,False,ML_1of3_only
USF2,1,False,ML_1of3_only
USP53,1,False,ML_1of3_only
USP9X,1,False,ML_1of3_only
VAMP2,1,False,ML_1of3_only
VMP1,1,False,ML_1of3_only
VPS51,1,False,ML_1of3_only
WFDC2,1,False,ML_1of3_only
WNK1,1,False,ML_1of3_only
YWHAB,1,False,ML_1of3_only
ZADH2,1,False,ML_1of3_only
ZCRB1,1,False,ML_1of3_only
ZDHHC24,1,False,ML_1of3_only
ZFAND2A,1,False,ML_1of3_only
ZFAS1,1,False,ML_1of3_only
ZFHX3,1,False,ML_1of3_only
ZFP36L1,1,False,ML_1of3_only
ZMAT2,1,False,ML_1of3_only
ZNF281,1,False,ML_1of3_only
ZNF44,1,False,ML_1of3_only
ZNF587,1,False,ML_1of3_only
