integrated_rank,gene,final_integrated_score,final_tier,adjusted_biomarker_score,biomarker_score,avg_log2FC,absolute_log2FC,pct.1,pct.2,prevalence_difference,mean_sample_prevalence,minimum_sample_prevalence,maximum_sample_prevalence,consistency_category,sample_consistency_score,specificity_score,prevalence_score,significance_score,high_priority,robust_3sample,final_biological_category,biological_class,GO_BP_support,GO_CC_support,GO_MF_support,KEGG_support,pathway_support,epithelial_relevance,proliferation_relevance,mitochondrial_relevance,stress_relevance,metabolic_flag,biological_review_flag,strong_candidate,strong_3sample,review_category,final_review_status,pathway_support_score,biological_relevance_score,consistency_penalty,review_penalty,final_biological_score,tumor_priority_score,OXPHOS_priority_score,final_panel_rank,final_review_class,ML_folds_selected,ML_support,consensus_status
40,NDUFB5,0.678153746151341,Tier_2_OXPHOS,0.70713435500549,0.70713435500549,1.09387484004392,1.09387484004392,0.784,0.466,0.318,0.770065536780369,0.615107913669065,0.863509749303621,Consistent_3_of_3,1,0.318,0.784,1.0,True,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.501426871001098,0,0,0.501426871001098,0.717897024251922,0.848940306501647,11,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
35,MDH2,0.682656071180685,Tier_2_OXPHOS,0.703877645922375,0.703877645922375,1.058221167379,1.058221167379,0.892,0.676,0.216,0.887108509937395,0.820143884892086,0.983286908077994,Consistent_3_of_3,1,0.216,0.892,1.0,True,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.500775529184475,0,0,0.500775529184475,0.717957176072831,0.869563293776713,12,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
231,SORD,0.596786388765997,Tier_3_Other,0.702755015090049,0.702755015090049,1.58524012072039,1.58524012072039,0.492,0.211,0.281,0.488809755596783,0.314763231197772,0.655263157894737,Consistent_3_of_3,1,0.281,0.492,1.0,True,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.50055100301801,0,0,0.50055100301801,0.650564255281517,0.789226504527015,13,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
39,CYC1,0.678760804154267,Tier_2_OXPHOS,0.699357163119656,0.699357163119656,1.01405730495725,1.01405730495725,0.849,0.585,0.264,0.83788165479931,0.712230215827338,0.930362116991644,Consistent_3_of_3,1,0.264,0.849,1.0,True,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.499871432623931,0,0,0.499871432623931,0.71737500709188,0.859607148935897,14,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
37,ATP5F1B,0.679362492992467,Tier_2_OXPHOS,0.694559422061715,0.694559422061715,0.966075376493722,0.966075376493722,0.896,0.673,0.223,0.888597545947995,0.802158273381295,0.96100278551532,Consistent_3_of_3,1,0.223,0.896,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.498911884412343,0,0,0.498911884412343,0.7168957977216,0.867567826618515,15,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
28,COX5B,0.689992131137538,Tier_2_OXPHOS,0.694250790629771,0.694250790629771,0.896406325038166,0.896406325038166,0.986,0.811,0.175,0.986226658608606,0.984210526315789,0.988857938718663,Consistent_3_of_3,1,0.175,0.986,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.498850158125954,0,0,0.498850158125954,0.72518777672042,0.885475237188931,16,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
95,MRPS7,0.649998241181109,Tier_3_Other,0.687921179692176,0.687921179692176,0.946569437537409,0.946569437537409,0.745,0.392,0.353,0.739689022861758,0.690647482014389,0.823684210526316,Consistent_3_of_3,1,0.353,0.745,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.497584235938435,0,0,0.497584235938435,0.710372412892262,0.835376353907653,17,Other_Research_Candidate,3,Strong_ML_support,Strong_consensus
195,PDHB,0.60961618221682,Tier_3_Other,0.687319614079493,0.687319614079493,1.27135691263594,1.27135691263594,0.562,0.232,0.33,0.545531116522996,0.345323741007194,0.6991643454039,Consistent_3_of_3,1,0.33,0.562,1.0,True,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.497463922815899,0,0,0.497463922815899,0.668961864927823,0.798595884223848,18,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
207,CYB561,0.603459188541566,Tier_3_Other,0.687035200747529,0.687035200747529,1.34428160598023,1.34428160598023,0.583,0.321,0.262,0.61105812315402,0.303621169916435,0.953237410071942,Consistent_3_of_3,1,0.262,0.583,1.0,True,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.497407040149506,0,0,0.497407040149506,0.659462320261635,0.802710560224259,19,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
32,COX5A,0.684395716904917,Tier_2_OXPHOS,0.686557889505941,0.686557889505941,0.828463116047528,0.828463116047528,0.947,0.729,0.218,0.947188116681556,0.928947368421053,0.966573816155989,Consistent_3_of_3,1,0.218,0.947,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.497311577901188,0,0,0.497311577901188,0.723295261327079,0.875367366851782,20,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
