gene,folds_selected,ML_recurrence_group
ISOC2,2,2_of_3
ITM2B,2,2_of_3
ITPK1,2,2_of_3
KCNC2,2,2_of_3
KIF12,2,2_of_3
KLHL5,2,2_of_3
KRT222,2,2_of_3
KRT7,2,2_of_3
LAMB3,2,2_of_3
LASP1,2,2_of_3
LDOC1,2,2_of_3
LERFS,2,2_of_3
LINC00173,2,2_of_3
LINGO1,2,2_of_3
LRATD1,2,2_of_3
LRP1B,2,2_of_3
LRRC24,2,2_of_3
LRRC4C,2,2_of_3
LRTM1,2,2_of_3
LY6G6C,2,2_of_3
LY6K,2,2_of_3
MAFB,2,2_of_3
MAGEA12,2,2_of_3
MAGED2,2,2_of_3
MAGI2,2,2_of_3
MARCHF6,2,2_of_3
MAST4,2,2_of_3
MDH1,2,2_of_3
MDK,2,2_of_3
MEA1,2,2_of_3
METRN,2,2_of_3
MLLT11,2,2_of_3
MORF4L2,2,2_of_3
MRFAP1,2,2_of_3
MRFAP1L1,2,2_of_3
MRPL21,2,2_of_3
MT-ATP6,2,2_of_3
MT1G,2,2_of_3
MT1M,2,2_of_3
MYBL2,2,2_of_3
MYO3B,2,2_of_3
MZT2A,2,2_of_3
NDRG2,2,2_of_3
NDUFAF3,2,2_of_3
NDUFAF8,2,2_of_3
NEAT1,2,2_of_3
NECAB1,2,2_of_3
NECAB3,2,2_of_3
NEFH,2,2_of_3
NELL2,2,2_of_3
NENF,2,2_of_3
NFASC,2,2_of_3
NFATC4,2,2_of_3
NFIX,2,2_of_3
NFKBIZ,2,2_of_3
NKD2,2,2_of_3
NME2,2,2_of_3
NORAD,2,2_of_3
NQO1,2,2_of_3
NRIP3,2,2_of_3
NRXN3,2,2_of_3
NXPH3,2,2_of_3
OCEL1,2,2_of_3
OLFML3,2,2_of_3
PAFAH1B3,2,2_of_3
PAQR5,2,2_of_3
PART1,2,2_of_3
PBX1,2,2_of_3
PCLO,2,2_of_3
PCMTD1,2,2_of_3
PCMTD2,2,2_of_3
PDE4DIP,2,2_of_3
PDGFD,2,2_of_3
PDRG1,2,2_of_3
PDZK1,2,2_of_3
PDZK1IP1,2,2_of_3
PHF14,2,2_of_3
PHPT1,2,2_of_3
PIK3R1,2,2_of_3
PITX1,2,2_of_3
PLAAT3,2,2_of_3
PLBD1,2,2_of_3
PLCXD3,2,2_of_3
PNPLA4,2,2_of_3
POLR2L,2,2_of_3
PPP1CA,2,2_of_3
PPP1R14D,2,2_of_3
PPP1R3C,2,2_of_3
PRDX2,2,2_of_3
PRKAR1A,2,2_of_3
PRLR,2,2_of_3
PSIP1,2,2_of_3
PTGER3,2,2_of_3
PTHLH,2,2_of_3
PTMS,2,2_of_3
PYGL,2,2_of_3
RAB32,2,2_of_3
RBBP7,2,2_of_3
RBM24,2,2_of_3
RBP1,2,2_of_3
RBP5,2,2_of_3
RBP7,2,2_of_3
RERG,2,2_of_3
RGS16,2,2_of_3
RHBDD2,2,2_of_3
RNF139,2,2_of_3
RPL36,2,2_of_3
RPL36A,2,2_of_3
RPS29,2,2_of_3
RSBN1L,2,2_of_3
RTBDN,2,2_of_3
RTN2,2,2_of_3
RTN3,2,2_of_3
RUNDC3A,2,2_of_3
RUNX1,2,2_of_3
RWDD4,2,2_of_3
S100A11,2,2_of_3
S100A16,2,2_of_3
S100G,2,2_of_3
SAC3D1,2,2_of_3
SCD,2,2_of_3
SCRT1,2,2_of_3
SDHB,2,2_of_3
SEC11C,2,2_of_3
SELENOW,2,2_of_3
SEPTIN8,2,2_of_3
SERPINA5,2,2_of_3
SERPINI1,2,2_of_3
SGPP2,2,2_of_3
SH3BGRL3,2,2_of_3
SH3KBP1,2,2_of_3
SIX2,2,2_of_3
SKIL,2,2_of_3
SLC27A2,2,2_of_3
SLC2A10,2,2_of_3
SLC35B1,2,2_of_3
SLC39A6,2,2_of_3
SNHG8,2,2_of_3
SNX10,2,2_of_3
SOWAHA,2,2_of_3
SPARC,2,2_of_3
SPATA20,2,2_of_3
SPATA5,2,2_of_3
SPCS1,2,2_of_3
SPDYC,2,2_of_3
SPESP1,2,2_of_3
SRI,2,2_of_3
ST6GALNAC5,2,2_of_3
STAU2,2,2_of_3
STC1,2,2_of_3
STMN1,2,2_of_3
STRBP,2,2_of_3
SUMO2,2,2_of_3
SUSD3,2,2_of_3
SYAP1,2,2_of_3
SYT13,2,2_of_3
TAF1D,2,2_of_3
TCEAL1,2,2_of_3
TCTA,2,2_of_3
TESMIN,2,2_of_3
TEX264,2,2_of_3
