LINC01409
LINC01128
LINC00115
FAM41C
SAMD11
NOC2L
KLHL17
PLEKHN1
PERM1
AL645608.7
HES4
ISG15
AGRN
RNF223
C1orf159
AL390719.2
TNFRSF18
SDF4
B3GALT6
C1QTNF12
UBE2J2
SCNN1D
ACAP3
PUSL1
INTS11
CPTP
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
ANKRD65
VWA1
ATAD3C
ATAD3B
ATAD3A
SSU72
AL645728.1
FNDC10
AL691432.2
MIB2
CDK11B
SLC35E2B
CDK11A
NADK
GNB1
TMEM52
PRKCZ
FAAP20
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
AL139246.5
TNFRSF14-AS1
TNFRSF14
PRXL2B
MMEL1
ARHGEF16
MEGF6
TPRG1L
WRAP73
SMIM1
LRRC47
CEP104
C1orf174
NPHP4
RPL22
RNF207
ICMT
GPR153
ACOT7
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
CAMTA1
VAMP3
PER3
PARK7
AL034417.3
ERRFI1
AL034417.2
SLC45A1
RERE
ENO1
ENO1-AS1
GPR157
MIR34AHG
LNCTAM34A
H6PD
SPSB1
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
PGD
CENPS
DFFA
PEX14
CASZ1
TARDBP
AL109811.2
SRM
EXOSC10
EXOSC10-AS1
MTOR
UBIAD1
FBXO2
FBXO44
FBXO6
MAD2L2
AGTRAP
C1orf167
MTHFR
CLCN6
AL021155.4
KIAA2013
PLOD1
MFN2
MIIP
VPS13D
DHRS3
PRDM2
KAZN
TMEM51-AS1
TMEM51
EFHD2
CASP9
DNAJC16
AGMAT
AL121992.1
DDI2
PLEKHM2
FBLIM1
UQCRHL
FLJ37453
SPEN
ZBTB17
SRARP
CLCNKA
EPHA2
ARHGEF19
FBXO42
SZRD1
NECAP2
AL137802.2
NBPF1
CROCC
BX284668.5
BX284668.6
MFAP2
ATP13A2
SDHB
PADI2
RCC2
ARHGEF10L
IGSF21
KLHDC7A
ALDH4A1
IFFO2
UBR4
EMC1-AS1
EMC1
MRTO4
AKR7A3
AKR7A2
SLC66A1
CAPZB
MICOS10
NBL1
TMCO4
OTUD3
PLA2G2C
UBXN10
CAMK2N1
MUL1
CDA
PINK1
DDOST
SH2D5
HP1BP3
EIF4G3
ECE1
NBPF3
ALPL
RAP1GAP
USP48
HSPG2
LINC00339
CDC42
CDC42-IT1
WNT4
ZBTB40
EPHA8
C1QA
EPHB2
KDM1A
LUZP1
LINC01355
HNRNPR
ZNF436
TCEA3
ASAP3
ID3
RPL11
ELOA-AS1
ELOA
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
PNRC2
SRSF10
IFNLR1
STPG1
NIPAL3
RCAN3
NCMAP-DT
SRRM1
CLIC4
SYF2
RSRP1
TMEM50A
MACO1
LDLRAP1
SELENON
MTFR1L
PAQR7
STMN1
PAFAH2
PDIK1L
ZNF593
CNKSR1
CEP85
SH3BGRL3
UBXN11
DHDDS
HMGN2
RPS6KA1
ARID1A
PIGV
ZDHHC18
SFN
GPN2
GPATCH3
NUDC
KDF1
TRNP1
TENT5B
SLC9A1
WDTC1
TMEM222
SYTL1
MAP3K6
CD164L2
GPR3
WASF2
AHDC1
IFI6
FAM76A
STX12
AL020997.2
PPP1R8
THEMIS2
RPA2
SMPDL3B
XKR8
EYA3
PTAFR
DNAJC8
ATP5IF1
SESN2
MED18
PHACTR4
RCC1
SNHG3
TRNAU1AP
SNHG12
TAF12
RAB42
GMEB1
YTHDF2
EPB41
SRSF4
MECR
PTPRU
MATN1-AS1
SDC3
PUM1
NKAIN1
SNRNP40
ZCCHC17
FABP3
SERINC2
TINAGL1
PEF1
COL16A1
ADGRB2
SPOCD1
PTP4A2
KHDRBS1
