"gene","sample_id","expressing_fraction","mean_expression"
"ETFB","BC12",0.763157894736842,0.590176768600202
"ETFB","BC17",0.584958217270195,0.54484293555423
"GLRX5","BC11",0.543165467625899,0.456951179993473
"GLRX5","BC12",0.678947368421053,0.456421394792208
"GLRX5","BC17",0.891364902506964,1.41566922604229
"FCGRT","BC11",0.949640287769784,1.45884208331413
"FCGRT","BC12",0.842105263157895,0.801283789717701
"FCGRT","BC17",0.37883008356546,0.322635767243849
"CHAD","BC11",0.794964028776978,0.963744975406491
"CHAD","BC12",0.171052631578947,0.0802872523554994
"CHAD","BC17",0.328690807799443,0.276460398608243
"HSPA1A","BC11",0.971223021582734,2.24467234149049
"HSPA1A","BC12",0.965789473684211,2.3753049471028
"HSPA1A","BC17",0.947075208913649,1.83170992658457
"HSPE1","BC11",0.935251798561151,1.52705289014886
"HSPE1","BC12",0.960526315789474,1.48267159538118
"HSPE1","BC17",0.986072423398329,2.22985910385603
"TBC1D9","BC11",0.845323741007194,0.97589402015486
"TBC1D9","BC12",0.836842105263158,0.760522723392181
"TBC1D9","BC17",0.626740947075209,0.653452293011194
"CHCHD10","BC11",0.705035971223022,0.679972548788036
"CHCHD10","BC12",0.768421052631579,0.715542723132174
"CHCHD10","BC17",0.958217270194986,1.96518335457871
"KIF12","BC11",0.449640287769784,0.374719832588345
"KIF12","BC12",0.155263157894737,0.0654441870270321
"KIF12","BC17",0.805013927576602,1.07509654240304
"NDUFAB1","BC11",0.892086330935252,1.1018145938114
"NDUFAB1","BC12",0.95,1.25166586340193
"NDUFAB1","BC17",0.910863509749304,1.34897205095429
"TM7SF2","BC11",0.446043165467626,0.364898697786613
"TM7SF2","BC12",0.660526315789474,0.497755560638824
"TM7SF2","BC17",0.373259052924791,0.35333081898618
"CYP4B1","BC11",0.0107913669064748,0.0070198441517684
"CYP4B1","BC12",0.0973684210526316,0.0607405641858827
"CYP4B1","BC17",0.62116991643454,0.662056054992466
"TMEM160","BC11",0.658273381294964,0.657368403126641
"TMEM160","BC12",0.868421052631579,0.791970475792486
"TMEM160","BC17",0.838440111420613,1.22712729423173
"RBP1","BC11",0.510791366906475,0.495583335794455
"RBP1","BC12",0.00789473684210526,0.00348305202277202
"RBP1","BC17",0.852367688022284,1.39922427344582
"HOXB5","BC11",0.0215827338129496,0.0130484089399219
"HOXB5","BC12",0.365789473684211,0.198023844044803
"HOXB5","BC17",0.459610027855153,0.414044890771007
"HERPUD1","BC11",0.87410071942446,1.24750444384843
"HERPUD1","BC12",0.863157894736842,0.889573813765423
"HERPUD1","BC17",0.785515320334262,0.947019222113996
"TMEM230","BC11",0.910071942446043,1.40711590679353
"TMEM230","BC12",0.886842105263158,0.919944085280116
"TMEM230","BC17",0.86908077994429,1.15190473062611
"NUCB2","BC11",0.992805755395683,2.49256164198119
"NUCB2","BC12",0.807894736842105,0.911258415113666
"NUCB2","BC17",0.922005571030641,1.68814690725836
"PRSS23","BC11",0.920863309352518,1.87863257252107
"PRSS23","BC12",0.465789473684211,0.404292080666212
"PRSS23","BC17",0.88857938718663,1.43751933108116
"SUSD3","BC11",0,0
"SUSD3","BC12",0.789473684210526,1.05267336271362
"SUSD3","BC17",0.933147632311978,1.60164958355998
"GATA3","BC11",0.953237410071942,1.75605431684199
"GATA3","BC12",0.934210526315789,1.38466057441952
"GATA3","BC17",0.938718662952646,1.70913266231989
"SERPINI1","BC11",0.0287769784172662,0.0133167238309887
"SERPINI1","BC12",0.0421052631578947,0.0201817761434802
"SERPINI1","BC17",0.944289693593315,1.81615584997667
"FGF2","BC11",0,0
"FGF2","BC12",0.768421052631579,0.729073966883796
"FGF2","BC17",0.052924791086351,0.0339441702774554
"HOXB-AS3","BC11",0,0
"HOXB-AS3","BC12",0.415789473684211,0.225912691674581
"HOXB-AS3","BC17",0.350974930362117,0.312899026523244
"STARD10","BC11",0.97841726618705,1.85259140392576
"STARD10","BC12",0.768421052631579,0.877576445416135
"STARD10","BC17",0.807799442896936,1.2260394783641
"CKS2","BC11",0.866906474820144,1.29660428630243
"CKS2","BC12",0.684210526315789,0.662265274926757
"CKS2","BC17",0.584958217270195,0.609751858875188
"NFATC4","BC11",0.079136690647482,0.0480653531717582
"NFATC4","BC12",0.118421052631579,0.0403094099417403
"NFATC4","BC17",0.852367688022284,1.20758603253068
"ISOC1","BC11",0.161870503597122,0.102494895854246
"ISOC1","BC12",0.231578947368421,0.104747332225092
"ISOC1","BC17",0.816155988857939,1.13766443172034
"PBX1","BC11",0.982014388489209,1.85137352994209
"PBX1","BC12",0.789473684210526,0.756464670730826
"PBX1","BC17",0.671309192200557,0.691714369329307
"ATP5MC3","BC11",0.953237410071942,1.43199693465689
"ATP5MC3","BC12",0.957894736842105,1.42255717596422
"ATP5MC3","BC17",0.974930362116992,2.21641435177082
"TRH","BC11",1,3.35550462777433
"TRH","BC12",0.294736842105263,0.261598135867778
"TRH","BC17",0.0167130919220056,0.0114695708986165
"ELOVL2","BC11",0.636690647482014,0.581754161297756
"ELOVL2","BC12",0.210526315789474,0.0977900298414425
"ELOVL2","BC17",0.183844011142061,0.15451594210028
"DNPH1","BC11",0.845323741007194,1.05004478740604
"DNPH1","BC12",0.836842105263158,0.764927085252419
"DNPH1","BC17",0.54874651810585,0.518360800219061
"ENPP5","BC11",0,0
"ENPP5","BC12",0.218421052631579,0.0964808058226344
"ENPP5","BC17",0.67966573816156,0.796805531107874
"GPX1","BC11",0.946043165467626,1.65227020222252
"GPX1","BC12",0.902631578947368,1.26129796359129
"GPX1","BC17",0.846796657381616,1.14321579916424
"AMZ2","BC11",0.723021582733813,0.727003048920373
"AMZ2","BC12",0.605263157894737,0.382486159991307
"AMZ2","BC17",0.498607242339833,0.449469421066304
"SNHG25","BC11",0.935251798561151,1.55018898848228
"SNHG25","BC12",0.713157894736842,0.645485582947545
"SNHG25","BC17",0.406685236768802,0.348260199485139
"SELENOP","BC11",0.571942446043165,0.518356697969428
"SELENOP","BC12",0.868421052631579,1.23381335460053
"SELENOP","BC17",0.871866295264624,1.26235806479006
"NFIX","BC11",0.0719424460431655,0.0411888611720398
