"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.79507478165457e-17,-2.51546557830943,0.048,0.24,3.5875440895288e-12,"NABP1"
1.38738289775766e-16,-2.92501872714164,0.021,0.169,5.08142860132719e-12,"CDH3"
1.52560972883114e-16,-2.88452617062749,0.023,0.175,5.58769819281694e-12,"GAS2L3"
1.86636801527805e-16,0.826278752218395,0.947,0.903,6.83575949275738e-12,"PARK7"
2.11265743390863e-16,-0.985658719104296,0.677,0.877,7.73781911743376e-12,"TMEM165"
2.28253196809027e-16,-0.619471827164046,0.999,1,8.36000158632742e-12,"RPS2"
2.30464312244852e-16,-3.57049865584374,0.112,0.357,8.44098590027996e-12,"S100A9"
2.41073490867181e-16,1.85983216024194,0.571,0.201,8.82955767650136e-12,"KCNC2"
2.72388750720616e-16,-1.2118881089365,0.378,0.682,9.97651038389327e-12,"LY6K"
2.7918864406649e-16,-2.60955531498655,0.039,0.214,1.02255632775793e-11,"SERTAD4-AS1"
2.80731930126776e-16,1.14280092631122,0.825,0.656,1.02820876728233e-11,"OCIAD1"
2.83892531191859e-16,-3.55723431682698,0.011,0.13,1.0397847847433e-11,"RPS6KA3"
3.55399048878143e-16,-1.4766493792974,0.377,0.669,1.30168455642108e-11,"MYLIP"
3.7197905118305e-16,-1.28041497708028,0.909,0.981,1.36241047286304e-11,"BTG1"
3.81174701203862e-16,-1.97850457890138,0.229,0.513,1.39609046062927e-11,"PRRG4"
4.17165486419574e-16,-3.25722905947069,0.025,0.175,1.52791031056033e-11,"DAPP1"
5.03911913043682e-16,0.598843063934651,0.996,0.994,1.84562777271379e-11,"COX6A1"
5.95992340134867e-16,-1.23022845922459,0.229,0.552,2.18288154497796e-11,"PSME4"
6.69190351552617e-16,-1.22330617687894,0.345,0.669,2.45097658159661e-11,"SDCBP"
6.80964935170132e-16,-2.38726886925327,0.058,0.26,2.49410217155412e-11,"KRT15"
9.78385557109067e-16,-2.14008576486005,0.076,0.292,3.58343494146767e-11,"KMO"
9.85048603778155e-16,-2.34164415251945,0.069,0.279,3.60783901619787e-11,"MGLL"
1.02605873983295e-15,1.62090183857692,0.736,0.552,3.75804274051216e-11,"DCAF6"
1.04221340252773e-15,-1.80260124964162,0.119,0.37,3.81721080809807e-11,"MYO10"
1.36607190342538e-15,1.19533913236463,0.916,0.799,5.0033749534858e-11,"NUCB2"
1.37653359791541e-15,-2.94750249007888,0.023,0.169,5.04169195572498e-11,"RGCC"
1.64883479239235e-15,-1.75895551153087,0.233,0.532,6.03902231061623e-11,"YBX3"
2.03743441817727e-15,-1.64340157719087,0.133,0.396,7.46230730001607e-11,"CDYL"
2.05414942858957e-15,-3.84519076083723,0.027,0.175,7.52352769715217e-11,"CXCL2"
2.25422551978213e-15,0.784932739205225,0.951,0.883,8.25632638875402e-11,"ATP5MPL"
2.7156923621364e-15,0.796040509911303,0.984,0.948,9.94649484556078e-11,"CRIP1"
2.7809663566885e-15,-0.932778758658455,0.219,0.545,1.01855673780073e-10,"BACE2"
3.23223181661191e-15,0.707909524237629,0.968,0.916,1.18383722515228e-10,"HNRNPA2B1"
3.41441953927944e-15,-1.61093637292993,0.268,0.565,1.25056530045649e-10,"ZNF292"
4.34827577729992e-15,1.69418195825346,0.609,0.312,1.59259948619387e-10,"RETREG1"
4.37627341834327e-15,0.687203240019897,1,1,1.6028539022024e-10,"MT-ND1"
4.42530608484979e-15,-2.92663944693236,0.046,0.221,1.62081260663708e-10,"CLCF1"
4.48070474393773e-15,-1.42567347822229,0.232,0.526,1.64110291951463e-10,"PITX1"
4.54168576896277e-15,0.862667078960357,0.943,0.877,1.6634378297403e-10,"ATP5MD"
5.01486187605483e-15,-2.19276345701575,0.075,0.286,1.83674331072384e-10,"ABCA1"
5.83954501420555e-15,-1.00542314601881,0.47,0.792,2.13879175690293e-10,"RAB11FIP1"
6.07712669463819e-15,-1.96524839385748,0.187,0.455,2.22580842317818e-10,"ERO1A"
7.47492554529901e-15,-0.872417457606954,0.561,0.838,2.73776623022122e-10,"CYSTM1"
7.89605645304298e-15,-1.96042199126109,0.063,0.26,2.89200963649152e-10,"TMEM45A"
8.62165062483851e-15,-1.66160591575019,0.361,0.643,3.15776575785335e-10,"ACTN1"
9.80454599910868e-15,-2.87236180893591,0.021,0.156,3.59101301763354e-10,"ADGRF4"
9.84628779313187e-15,0.559133796028318,0.988,0.987,3.60630136711248e-10,"RPS26"
1.10398115257518e-14,-1.50866662956212,0.258,0.571,4.04344136942186e-10,"MXD1"
1.20607282289865e-14,0.7157870334108,0.987,0.981,4.4173623211486e-10,"COX5B"
1.21572261583749e-14,-0.831750093910961,0.333,0.688,4.45270565276639e-10,"PLAAT4"
1.22106004354285e-14,0.894061448934245,0.863,0.727,4.47225451548004e-10,"NDUFB8"
1.40520139668197e-14,1.76095571821122,0.602,0.305,5.14669063548738e-10,"TXNIP"
1.40755064303916e-14,-2.03290927208813,0.125,0.377,5.15529498519522e-10,"SCGB2A1"
1.58990763312627e-14,-2.08928816104026,0.152,0.403,5.82319569708829e-10,"CHI3L2"
1.82649589905172e-14,-1.44872430935917,0.25,0.552,6.68972387986684e-10,"CXCL17"
1.90173440961869e-14,1.17223833179715,0.801,0.623,6.96529244866941e-10,"SNHG8"
2.19392881972346e-14,1.42237297785283,0.67,0.338,8.03548369511914e-10,"ESR1"
2.31135393193069e-14,-1.40486863114037,0.191,0.468,8.46556491108933e-10,"FNDC3B"
2.33471897984201e-14,-1.9729833844732,0.082,0.292,8.55114173556935e-10,"PLOD2"
2.66960929503161e-14,-0.881118798696931,0.494,0.805,9.77771100398277e-10,"TPBG"
2.70412450490943e-14,-1.75178806802018,0.09,0.312,9.90412641168129e-10,"RNF39"
2.73397749029929e-14,-1.0438704257317,0.412,0.734,1.00134659559702e-09,"ZBTB43"
2.77242847978504e-14,-4.58073851300782,0.007,0.104,1.01542965500607e-09,"C11orf96"
2.79151679433028e-14,-1.739899522166,0.073,0.279,1.02242094109141e-09,"LPCAT1"
2.89061583708146e-14,0.758138716685539,0.968,0.916,1.05871695648946e-09,"PRDX2"
3.06694829857175e-14,-4.71946894277126,0.007,0.104,1.12330048383489e-09,"ANGPTL4"
3.90690547485433e-14,-1.1089330522403,0.524,0.792,1.43094319922015e-09,"PAWR"
