"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
399,"STMN1",0.537300774146,"Tier_3_Exploratory_Robust",0.629863255602616,0.629863255602616,1.14290604482093,1.14290604482093,0.521,0.357,0.164,0.51101683086898,0.278947368421053,0.930362116991644,"Consistent_3_of_3",1,0.164,0.521,1,FALSE,TRUE,"Proliferation_Relevant","Proliferation_CellCycle",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
403,"CDK4",0.535867854205297,"Tier_3_Exploratory_Robust",0.556795215571176,0.556795215571176,0.506890945863032,0.506890945863032,0.534,0.328,0.206,0.523763209048653,0.431654676258993,0.660526315789474,"Consistent_3_of_3",1,0.206,0.534,0.969558982255311,FALSE,TRUE,"Proliferation_Relevant","Proliferation_CellCycle",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
576,"PCNA",0.466408909310927,"Tier_4_Exploratory",0.513843548863385,0.513843548863385,0.555210909682802,0.555210909682802,0.339,0.178,0.161,0.35067117102389,0.284122562674095,0.47841726618705,"Consistent_3_of_3",1,0.161,0.339,0.962947901020231,FALSE,TRUE,"Proliferation_Relevant","Proliferation_CellCycle",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
