"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
357,"SURF1",0.549663076696097,"Tier_3_Exploratory_Robust",0.587312405824346,0.587312405824346,0.541699246594768,0.541699246594768,0.599,0.35,0.249,0.592731344905017,0.45125348189415,0.765789473684211,"Consistent_3_of_3",1,0.249,0.599,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
358,"OCEL1",0.549523493505855,"Tier_3_Exploratory_Robust",0.677912420472846,0.677912420472846,1.40729936378277,1.40729936378277,0.46,0.16,0.3,0.45495591798076,0.381294964028777,0.559888579387187,"Consistent_3_of_3",1,0.3,0.46,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
359,"SEC61A1",0.54936149838363,"Tier_3_Exploratory_Robust",0.598632189432108,0.598632189432108,0.683457515456863,0.683457515456863,0.564,0.312,0.252,0.568587733536965,0.370473537604457,0.684210526315789,"Consistent_3_of_3",1,0.252,0.564,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
360,"COQ4",0.549289438967515,"Tier_3_Exploratory_Robust",0.602396634108801,0.602396634108801,0.726373072870408,0.726373072870408,0.545,0.282,0.263,0.549570008265488,0.465181058495822,0.615107913669065,"Consistent_3_of_3",1,0.263,0.545,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
361,"THSD4",0.549114611222959,"Tier_3_Exploratory_Robust",0.658330802169411,0.658330802169411,1.18344641735529,1.18344641735529,0.542,0.282,0.26,0.568138247062517,0.323119777158774,0.881294964028777,"Consistent_3_of_3",1,0.26,0.542,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
362,"CNPY3",0.549025133916561,"Tier_3_Exploratory_Robust",0.633892956625966,0.633892956625966,1.12234365300773,1.12234365300773,0.462,0.206,0.256,0.46258282627673,0.405263157894737,0.52924791086351,"Consistent_3_of_3",1,0.256,0.462,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
363,"DCTN3",0.548932710709874,"Tier_3_Exploratory_Robust",0.6059171096328,0.6059171096328,0.527336877062397,0.527336877062397,0.673,0.396,0.277,0.670951694882183,0.532033426183844,0.797368421052632,"Consistent_3_of_3",1,0.277,0.673,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
364,"RNF5",0.548849166476688,"Tier_3_Exploratory_Robust",0.584750933739891,0.584750933739891,0.519607469919131,0.519607469919131,0.608,0.367,0.241,0.603555460865145,0.540389972144847,0.694736842105263,"Consistent_3_of_3",1,0.241,0.608,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
365,"CDS2",0.548599400202763,"Tier_3_Exploratory_Robust",0.633302849981706,0.633302849981706,1.11282279985365,1.11282279985365,0.451,0.181,0.27,0.468722808001949,0.315789473684211,0.647482014388489,"Consistent_3_of_3",1,0.27,0.451,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
366,"PIGP",0.548460438089036,"Tier_3_Exploratory_Robust",0.596184577708598,0.596184577708598,0.660676621668785,0.660676621668785,0.567,0.316,0.251,0.571797720890873,0.384401114206128,0.676315789473684,"Consistent_3_of_3",1,0.251,0.567,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
