"SYMBOL","ENTREZID","ENSEMBL"
"TOMM6","100188893","ENSG00000214736"
"RTN3","10313","ENSG00000133318"
"ATP5ME","521","ENSG00000169020"
"H2BC21","8349","ENSG00000184678"
"VAV3","10451","ENSG00000134215"
"DYNLL1","8655","ENSG00000088986"
"CANX","821","ENSG00000127022"
"SEC11C","90701","ENSG00000166562"
"COX17","10063","ENSG00000138495"
"TMEM14B","81853","ENSG00000137210"
"VAMP8","8673","ENSG00000118640"
"MCRIP2","84331","ENSG00000172366"
"COX11","1353","ENSG00000166260"
"TMED2","10959","ENSG00000086598"
"SSR3","6747","ENSG00000114850"
"PRXL2A","84293","ENSG00000122378"
"RHBDD2","57414","ENSG00000005486"
"MRFAP1","93621","ENSG00000179010"
"NDUFA7","4701","ENSG00000267855"
"MRPL40","64976","ENSG00000185608"
"NDUFS6","4726","ENSG00000145494"
"SCAND1","51282","ENSG00000171222"
"ARL6IP4","51329","ENSG00000182196"
"PRDX5","25824","ENSG00000126432"
"TMEM14A","28978","ENSG00000096092"
"NAXE","128240","ENSG00000163382"
"USF2","7392","ENSG00000105698"
"NDUFS3","4722","ENSG00000213619"
"ANAPC11","51529","ENSG00000141552"
"SMDT1","91689","ENSG00000183172"
"CAMK2N1","55450","ENSG00000162545"
"ERP29","10961","ENSG00000089248"
"CALR","811","ENSG00000179218"
"MRPS18A","55168","ENSG00000096080"
"THSD4","79875","ENSG00000187720"
"NUDT4","11163","ENSG00000173598"
"NDUFV1","4723","ENSG00000167792"
"PIGT","51604","ENSG00000124155"
"SELENOW","6415","ENSG00000178980"
"NORAD","647979","ENSG00000260032"
"ATP5PB","515","ENSG00000116459"
"MARCHF6","10299","ENSG00000145495"
"ZBTB20","26137","ENSG00000181722"
"NECAB3","63941","ENSG00000125967"
"SARAF","51669","ENSG00000133872"
"TRMT112","51504","ENSG00000173113"
"ECI1","1632","ENSG00000167969"
"COA3","28958","ENSG00000183978"
"TP53TG1","11257","ENSG00000182165"
"APRT","353","ENSG00000198931"
"NENF","29937","ENSG00000117691"
"ING2","3622","ENSG00000168556"
"ZCRB1","85437","ENSG00000139168"
"MED13L","23389","ENSG00000123066"
"NDUFAF8","284184","ENSG00000224877"
"TMEM9B","56674","ENSG00000175348"
"DHRS7","51635","ENSG00000100612"
"MRPS24","64951","ENSG00000062582"
"SHARPIN","81858","ENSG00000179526"
"H2AC6","8334","ENSG00000180573"
"IDH1","3417","ENSG00000138413"
"ISOC2","79763","ENSG00000063241"
"SIAH2","6478","ENSG00000181788"
"CALM3","808","ENSG00000160014"
"SAC3D1","29901","ENSG00000168061"
"DDT","1652","ENSG00000099977"
"COX7A2L","9167","ENSG00000115944"
"MZT2A","653784","ENSG00000173272"
"MRPS34","65993","ENSG00000074071"
"MTSS1","9788","ENSG00000170873"
"NDUFA6","4700","ENSG00000184983"
"TESMIN","9633","ENSG00000132749"
"SDHB","6390","ENSG00000117118"
"YIPF3","25844","ENSG00000137207"
"CISD3","284106","ENSG00000277972"
"COA1","55744","ENSG00000106603"
"SPOP","8405","ENSG00000121067"
"TOB1","10140","ENSG00000141232"
"ZDHHC24","254359","ENSG00000174165"
"DUT","1854","ENSG00000128951"
"CORO1B","57175","ENSG00000172725"
"PMVK","10654","ENSG00000163344"
"PPP1CA","5499","ENSG00000172531"
"COMTD1","118881","ENSG00000165644"
"TRAPPC6A","79090","ENSG00000007255"
"MRPL57","78988","ENSG00000173141"
"C11orf58","10944","ENSG00000110696"
"PTOV1","53635","ENSG00000104960"
"CTSH","1512","ENSG00000103811"
"SPDEF","25803","ENSG00000124664"
"TECR","9524","ENSG00000099797"
"DDRGK1","65992","ENSG00000198171"
"TMEM141","85014","ENSG00000244187"
"EIF2AK1","27102","ENSG00000086232"
"SEZ6L2","26470","ENSG00000174938"
"YIF1A","10897","ENSG00000174851"
"CRNDE","643911","ENSG00000245694"
"FOSB","2354","ENSG00000125740"
"PCBD1","5092","ENSG00000166228"
"MTARC2","54996","ENSG00000117791"
"ARF3","377","ENSG00000134287"
"TERF2IP","54386","ENSG00000166848"
"YIPF6","286451","ENSG00000181704"
"SUPT4H1","6827","ENSG00000213246"
