"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031967","organelle envelope","130/582","169/916",2.96042464213166e-05,0.000495871127557054,0.000433676241435077,"CHCHD10/MPC2/TMEM160/ATP5F1A/TM7SF2/PLAAT3/NUCB2/ATP5MC3/HPN/COX7B/NDUFAB1/COX8A/NDUFB5/NDUFAF3/SORD/COX14/CYC1/CLU/ATP5PD/HINT2/ATP5F1B/COX5B/HSPD1/MRPS7/COX5A/HACD3/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/BANF1/NDUFA8/MRPL23/NDUFB4/TOMM6/ATP5ME/CANX/COX17/TMEM14B/COX11/NDUFA7/MRPL40/NDUFS6/TMEM14A/NDUFS3/SMDT1/CALR/MRPS18A/NDUFV1/ATP5PB/COA3/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/MTARC2/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/TOMM22/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/GHITM/NDUFS7/AKAP1/CHCHD5/BAD/MRPL36/UQCC3/CACYBP/MRPS18B/MTCH1/NDUFA10/MRPS14/RNF13/HTATIP2/PPP1CC/EBP/MRPL34/TIMMDC1/COQ4/ARMCX3/MTX2/TIMM17B/VDAC3/ARL2BP/SURF1/CYB5B/RNF5/MPC1/STARD7/UNC50/CRLS1/SLC22A18/COQ7/MRPS36/THAP7/NDUFS1/DST/HK1/CDK4/DCTN1/PARL/MRPL35/SYNE4/HADHB/TMEM223/FUNDC1/FAM210B/IMMP1L/SYNJ2BP/GNPAT",130
"GO:0031975","envelope","130/582","169/916",2.96042464213166e-05,0.000495871127557054,0.000433676241435077,"CHCHD10/MPC2/TMEM160/ATP5F1A/TM7SF2/PLAAT3/NUCB2/ATP5MC3/HPN/COX7B/NDUFAB1/COX8A/NDUFB5/NDUFAF3/SORD/COX14/CYC1/CLU/ATP5PD/HINT2/ATP5F1B/COX5B/HSPD1/MRPS7/COX5A/HACD3/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/MRPL12/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/BANF1/NDUFA8/MRPL23/NDUFB4/TOMM6/ATP5ME/CANX/COX17/TMEM14B/COX11/NDUFA7/MRPL40/NDUFS6/TMEM14A/NDUFS3/SMDT1/CALR/MRPS18A/NDUFV1/ATP5PB/COA3/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/MTARC2/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/TOMM22/MRPL24/CDS2/DMAC1/MICOS13/NDUFB6/GHITM/NDUFS7/AKAP1/CHCHD5/BAD/MRPL36/UQCC3/CACYBP/MRPS18B/MTCH1/NDUFA10/MRPS14/RNF13/HTATIP2/PPP1CC/EBP/MRPL34/TIMMDC1/COQ4/ARMCX3/MTX2/TIMM17B/VDAC3/ARL2BP/SURF1/CYB5B/RNF5/MPC1/STARD7/UNC50/CRLS1/SLC22A18/COQ7/MRPS36/THAP7/NDUFS1/DST/HK1/CDK4/DCTN1/PARL/MRPL35/SYNE4/HADHB/TMEM223/FUNDC1/FAM210B/IMMP1L/SYNJ2BP/GNPAT",130
"GO:0005747","mitochondrial respiratory chain complex I","21/582","21/916",6.38729642131175e-05,0.000855897720455775,0.000748546317444956,"NDUFAB1/NDUFB5/NDUFB7/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",21
"GO:0030964","NADH dehydrogenase complex","21/582","21/916",6.38729642131175e-05,0.000855897720455775,0.000748546317444956,"NDUFAB1/NDUFB5/NDUFB7/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",21
"GO:0045271","respiratory chain complex I","21/582","21/916",6.38729642131175e-05,0.000855897720455775,0.000748546317444956,"NDUFAB1/NDUFB5/NDUFB7/NDUFB9/NDUFB10/NDUFS2/NDUFA12/NDUFA1/NDUFA8/NDUFB4/NDUFA7/NDUFS6/NDUFS3/NDUFV1/NDUFA6/NDUFB1/NDUFB8/NDUFB6/NDUFS7/NDUFA10/NDUFS1",21
"GO:0031090","organelle membrane","226/582","316/916",0.000158140066861068,0.00198663458994217,0.00173745994511831,"CHCHD10/RETREG1/MPC2/ATP6AP2/TMEM160/ATP5F1A/GASK1B/EPN3/TM7SF2/FCGRT/PLAAT3/SCD/GGA2/HERPUD1/ATP5MC3/HPN/COX7B/NDUFAB1/COX8A/PXMP2/NDUFB5/NDUFAF3/AHCYL1/ATP6AP1/SORD/GABARAPL2/TEX264/COX14/CYC1/CLU/ATP5PD/HINT2/ATP5F1B/COX5B/HSPD1/SRI/GALNT1/FXYD3/SNF8/P4HTM/MRPS7/CMTM6/CYB561/COX5A/HACD3/MRPS23/UQCR10/NDUFB7/MRPL27/NDUFB9/NDUFB10/MRPS26/MRPS12/UQCRH/RNF139/MRPL12/SELENOT/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/UGCG/CERS2/NDUFA8/MRPL23/NDUFB4/TOMM6/RTN3/ATP5ME/DYNLL1/CANX/SEC11C/TMEM14B/VAMP8/COX11/TMED2/SSR3/RHBDD2/NDUFA7/MRPL40/NDUFS6/TMEM14A/NDUFS3/SMDT1/CALR/MRPS18A/NDUFV1/PIGT/ATP5PB/MARCHF6/NECAB3/SARAF/COA3/TMEM9B/DHRS7/MRPS24/COX7A2L/MRPS34/NDUFA6/SDHB/COA1/MRPL57/TECR/DDRGK1/SEZ6L2/YIF1A/MTARC2/ARF3/YIPF6/ABHD12/NDUFB1/GADD45GIP1/NDUFB8/MRPL21/PTPMT1/LAMP2/TOMM22/MRPL24/CDS2/DMAC1/RPN2/MICOS13/SERINC3/NDUFB6/SLC35B1/EPHX1/GHITM/NDUFS7/SQLE/AKAP1/OS9/SRPRB/BAD/MRPL36/UQCC3/SAYSD1/SELENOS/PLD3/GRAMD1A/MRPS18B/EMC10/ARL3/MTCH1/NDUFA10/RAB17/TMEM208/BSCL2/FLOT1/MRPS14/RNF13/GRN/PPP1CC/GPAA1/EBP/PIGX/RPN1/CTSA/MRPL34/CTSZ/TIMMDC1/COQ4/ARMCX3/CHPF/RAP1A/SEC61A1/CANT1/ATG101/IFT27/PIGP/MTX2/TMEM9/TIMM17B/VDAC3/CLTC/RETREG2/NFE2L1/SURF1/CYB5B/RNF5/MPC1/ATP6V1H/CDIPT/GOSR2/STARD7/ELAPOR1/SYS1/M6PR/TSG101/ERGIC1/UNC50/CRLS1/COQ7/MRPS36/ALG13/CERS6/THAP7/ARFGAP2/GET1/NDUFS1/DST/HK1/ERG28/CDK4/PARL/COPG1/EBAG9/MRPL35/CCZ1/TMED7/BRI3/B3GAT3/SYNE4/PTGES2/HADHB/ZDHHC4/HRAS/PIGF/TMEM223/CYP51A1/FUNDC1/FAM210B/CDS1/IMMP1L/SYNJ2BP/GNPAT/TMX1",226
"GO:0098796","membrane protein complex","85/582","108/916",0.000241160729172354,0.00285137097433195,0.00249373633261815,"CHCHD10/MPC2/ATP6AP2/ATP5F1A/EPN3/ATP5MC3/COX7B/NDUFAB1/COX8A/NDUFB5/ATP6AP1/CYC1/ATP5PD/ATP5F1B/COX5B/HSPD1/SNF8/COX5A/UQCR10/NDUFB7/NDUFB9/NDUFB10/UQCRH/RNF139/NDUFS2/ATP5MC1/NDUFA12/NDUFA1/NDUFA8/NDUFB4/TOMM6/ATP5ME/SEC11C/VAMP8/RHBDD2/NDUFA7/NDUFS6/NDUFS3/SMDT1/CALR/NDUFV1/PIGT/ATP5PB/MARCHF6/CALM3/COX7A2L/NDUFA6/SDHB/ABHD12/NDUFB1/NDUFB8/TOMM22/RPN2/MICOS13/NDUFB6/CDH1/NDUFS7/GNG10/OS9/SRPRB/SELENOS/EMC10/NDUFA10/FLOT1/SKAP1/GPAA1/RPN1/ERBB3/SEC61A1/PIGP/MTX2/TIMM17B/VDAC3/CLTC/MPC1/ATP6V1H/GOSR2/TSG101/KCNK6/PDZD11/NDUFS1/COPG1/TMED7/SYNE4/IMMP1L",85
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","80/582","102/916",0.00047055218667547,0.00525449941787608,0.00459545117981307,"RETREG1/ATP6AP2/TM7SF2/PLAAT3/SCD/HERPUD1/HPN/AHCYL1/ATP6AP1/GABARAPL2/TEX264/SRI/GALNT1/FXYD3/P4HTM/HACD3/RNF139/SELENOT/CERS2/RTN3/CANX/SEC11C/TMED2/SSR3/RHBDD2/TMEM14A/CALR/PIGT/MARCHF6/NECAB3/SARAF/DHRS7/TECR/DDRGK1/SEZ6L2/YIF1A/ABHD12/CDS2/RPN2/SLC35B1/EPHX1/SQLE/OS9/SRPRB/SELENOS/PLD3/GRAMD1A/EMC10/TMEM208/BSCL2/RNF13/GPAA1/EBP/PIGX/RPN1/SEC61A1/CANT1/ATG101/PIGP/RETREG2/NFE2L1/RNF5/CDIPT/GOSR2/ELAPOR1/ERGIC1/ALG13/CERS6/GET1/DST/ERG28/COPG1/TMED7/SYNE4/ZDHHC4/HRAS/PIGF/CYP51A1/CDS1/TMX1",80
"GO:0005789","endoplasmic reticulum membrane","79/582","101/916",0.000603834980168623,0.00606854155069467,0.0053073916677979,"RETREG1/ATP6AP2/TM7SF2/PLAAT3/SCD/HERPUD1/HPN/AHCYL1/ATP6AP1/GABARAPL2/TEX264/SRI/GALNT1/FXYD3/P4HTM/HACD3/RNF139/SELENOT/CERS2/RTN3/CANX/SEC11C/TMED2/SSR3/RHBDD2/TMEM14A/CALR/PIGT/MARCHF6/NECAB3/SARAF/DHRS7/TECR/DDRGK1/SEZ6L2/YIF1A/ABHD12/CDS2/RPN2/SLC35B1/EPHX1/SQLE/OS9/SRPRB/SELENOS/PLD3/GRAMD1A/EMC10/TMEM208/BSCL2/RNF13/GPAA1/EBP/PIGX/RPN1/SEC61A1/CANT1/ATG101/PIGP/RETREG2/NFE2L1/RNF5/CDIPT/GOSR2/ELAPOR1/ERGIC1/ALG13/CERS6/GET1/DST/ERG28/COPG1/TMED7/ZDHHC4/HRAS/PIGF/CYP51A1/CDS1/TMX1",79
"GO:0098827","endoplasmic reticulum subcompartment","79/582","101/916",0.000603834980168623,0.00606854155069467,0.0053073916677979,"RETREG1/ATP6AP2/TM7SF2/PLAAT3/SCD/HERPUD1/HPN/AHCYL1/ATP6AP1/GABARAPL2/TEX264/SRI/GALNT1/FXYD3/P4HTM/HACD3/RNF139/SELENOT/CERS2/RTN3/CANX/SEC11C/TMED2/SSR3/RHBDD2/TMEM14A/CALR/PIGT/MARCHF6/NECAB3/SARAF/DHRS7/TECR/DDRGK1/SEZ6L2/YIF1A/ABHD12/CDS2/RPN2/SLC35B1/EPHX1/SQLE/OS9/SRPRB/SELENOS/PLD3/GRAMD1A/EMC10/TMEM208/BSCL2/RNF13/GPAA1/EBP/PIGX/RPN1/SEC61A1/CANT1/ATG101/PIGP/RETREG2/NFE2L1/RNF5/CDIPT/GOSR2/ELAPOR1/ERGIC1/ALG13/CERS6/GET1/DST/ERG28/COPG1/TMED7/ZDHHC4/HRAS/PIGF/CYP51A1/CDS1/TMX1",79
