gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,prevalence_difference,absolute_log2FC,direction,samples_tested,samples_prevalence_25pct,samples_prevalence_50pct,minimum_sample_prevalence,mean_sample_prevalence,maximum_sample_prevalence,consistency_category,biological_review_flag,fc_score,prevalence_score,specificity_score,significance_score,consistency_score,biomarker_score,adjusted_biomarker_score,priority_rank,biological_class,final_biological_category,mean_malignant_expression,mean_diploid_expression,mean_log2FC,mean_malignant_detection_pct,mean_diploid_detection_pct,mean_detection_difference_pct,samples_with_positive_log2FC,samples_with_log2FC_ge_1,samples_with_positive_detection_difference,sample_consistency_score,expression_consistency,expression_validation_score,ML_folds_selected,final_evidence_category,overall_exploratory_evidence_score,external_support,biological_category,ML_folds_selected_step37,ML_recurrence,external_expression_prevalence,external_mean_expression,external_support_step37,biological_interpretation,bioinformatics_supported,ML_3_of_3,expression_3_of_3,strong_malignant_expression,evidence_layer_count,final_biological_priority,biological_interpretation_rank
PRSS23,3.2898940093664203e-112,1.57640748655421,0.739,0.378,1.20495657987054e-107,0.361,1.57640748655421,Malignant_enriched,3,3,2,0.465789473684211,0.758410723407786,0.920863309352518,Consistent_3_of_3,Standard_candidate,0.788203743277105,0.739,0.361,1,1.0,0.767050935819276,0.767050935819276,16,Epithelial_TumorAssociated,Epithelial_Tumor_Relevant,1.2401479947561451,0.5541152221103302,2.9864805098535983,75.84107234077861,26.075819672131143,49.76525266864746,3,2,3,1.0,Consistent_positive_expression,0.9535144518705276,3,High-priority consensus candidate,0.781405780748211,Not_available,Consistent_3_of_3,3,3/3,,,Not_available,Epithelial/tumor-associated candidate with multi-layer support.,True,True,True,True,4,Strong multi-layer candidate,1
FCGRT,6.8342176038814895e-127,1.461839802477,0.708,0.292,2.5031005395976296e-122,0.416,1.461839802477,Malignant_enriched,3,3,2,0.37883008356546,0.723525211497713,0.949640287769784,Consistent_3_of_3,Standard_candidate,0.7309199012385,0.708,0.416,1,1.0,0.757529975309625,0.757529975309625,20,Epithelial_TumorAssociated,Epithelial_Tumor_Relevant,0.8609205467585616,0.5032092915113354,2.11922595042955,72.35252114977128,28.136384335154823,44.21613681461645,3,1,3,1.0,Consistent_positive_expression,0.8243350789031131,3,High-priority consensus candidate,0.7297340315612452,Not_available,Consistent_3_of_3,3,3/3,,,Not_available,Epithelial/tumor-associated candidate with multi-layer support.,True,True,True,True,4,Strong multi-layer candidate,2
ETFB,4.20748976836004e-130,1.38518150129729,0.651,0.215,1.54103520255955e-125,0.436,1.38518150129729,Malignant_enriched,3,3,3,0.58273381294964,0.643616641652226,0.763157894736842,Consistent_3_of_3,Standard_candidate,0.692590750648645,0.651,0.436,1,1.0,0.740547687662161,0.740547687662161,33,Mitochondrial_OXPHOS,Mitochondrial_Metabolic,0.5415517130225017,0.2274898166149962,2.3723677520759474,64.36166416522258,14.44672131147541,49.91494285374719,3,2,3,1.0,Consistent_positive_expression,0.8852535495071747,3,High-priority consensus candidate,0.7541014198028698,Not_available,Consistent_3_of_3,3,3/3,,,Not_available,Mitochondrial/OXPHOS-associated candidate with multi-layer support.,True,True,True,True,4,Strong multi-layer candidate,3
EPN3,7.52619200054638e-149,2.37194040602517,0.452,0.074,2.75654308212012e-144,0.378,2.37194040602517,Malignant_enriched,3,3,1,0.35,0.455457472462142,0.54874651810585,Consistent_3_of_3,Standard_candidate,1.0,0.452,0.378,1,1.0,0.766,0.766,17,Epithelial_TumorAssociated,Epithelial_Tumor_Relevant,0.3646012561533777,0.4486716664316208,0.3207802207236497,45.54574724621417,22.757285974499087,22.78846127171508,2,1,3,0.6666666666666666,Mostly_positive_expression,0.3333333333333333,3,Candidate requiring further validation,0.5333333333333333,Not_available,Consistent_3_of_3,3,3/3,,,Not_available,Epithelial/tumor-associated candidate with multi-layer support.,True,True,False,False,2,Moderate candidate,4
