gene,malignant_detection_pct,diploid_detection_pct,other_detection_pct,malignant_detection_difference_pct,malignant_vs_diploid_log2FC,malignant_mean_expression,diploid_mean_expression,epithelial_detection_pct,non_epithelial_detection_pct,epithelial_detection_difference_pct,malignant_epithelial_detection_pct,samples_tested,samples_positive_log2FC,sample_consistency,mean_sample_log2FC,tumor_specificity_class,external_support_category,external_validation_score,evidence_layers,final_external_validation_class,final_specificity_interpretation,specificity_rank
ETFB,65.09341199606686,21.464860287891618,,43.628551708175245,1.5945259629361412,0.5466906950224972,0.18102557417601142,34.59603432968334,,,65.09341199606686,3,3,1.0,6.8036760847525555,Tumor_associated,Strong_external_expression_support,2,4,Strong multi-layer externally supported candidate,Tumor-associated candidate,1
FCGRT,70.79646017699115,29.170194750211685,,41.62626542677946,1.5008952289968869,0.8120670400143535,0.2869303055074212,41.69872743415212,,,70.79646017699115,3,3,1.0,6.5398975070845475,Tumor_associated,Strong_external_expression_support,2,4,Strong multi-layer externally supported candidate,Tumor-associated candidate,2
EPN3,45.23107177974435,7.408975444538527,,37.82209633520582,2.6687456498741957,0.3585109041160196,0.0563797812238912,18.79254217224031,,,45.23107177974435,3,2,0.6666666666666666,0.35754799838862167,Weak_tumor_association,External_gene_present_only,1,2,ML consensus - external presence only,Weak tumor association,3
PRSS23,73.94296951819076,37.84928027095681,,36.093689247233954,1.3697523747049198,1.1720356791269932,0.45352757125644233,48.71263687481503,,,73.94296951819076,3,3,1.0,7.434793268801122,Tumor_associated,Strong_external_expression_support,2,4,Strong multi-layer externally supported candidate,Tumor-associated candidate,4
MRPS7,74.53294001966569,39.20406435224386,,35.328875667421826,1.0229920650888695,0.7014641380507137,0.345186288987644,49.83722994968925,,,74.53294001966569,3,3,1.0,7.076927818305975,Tumor_associated,Strong_external_expression_support,2,4,Strong multi-layer externally supported candidate,Tumor-associated candidate,5
COX8A,98.13176007866274,80.69432684165962,,17.43743323700312,0.7112681436208834,2.039783722203632,1.2458648693615142,85.94258656407222,,,98.13176007866274,3,3,1.0,0.7210771606154506,Weak_tumor_association,Strong_external_expression_support,2,4,Strong multi-layer externally supported candidate,Weak tumor association,6
