test_sample,selected_K,inner_best_auc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,n_test_cells,malignant_test_cells,diploid_test_cells
BC11,500,0.999291621014968,0.6909030152926838,0.7472764297273227,0.40563991323210413,1.0,0.014388489208633094,1.0,0.028368794326241134,461,278,183
BC12,500,0.996679997718901,0.5097861842105263,0.9103251104027578,0.07766990291262135,0.0,0.0,1.0,0.0,412,380,32
BC17,500,0.9939697547999075,0.11142061281337047,0.9870050478049929,0.01662049861495845,1.0,0.011142061281337047,1.0,0.02203856749311295,361,359,2
