metric,mean,std
roc_auc,0.20467591637993418,0.06138339433528721
pr_auc,0.7546340473764263,0.2706249739813481
accuracy,0.16005773092061973,0.20831178208524812
precision,0.0,0.0
recall,0.0,0.0
specificity,1.0,0.0
f1,0.0,0.0
