gene,coefficient,test_sample,selected_C
TSR3,0.015715848929354657,BC11,0.01
GPATCH2,-0.055676445552575664,BC11,0.01
NKAP,0.01893278916478714,BC11,0.01
CYP51A1,-0.043794972420070216,BC11,0.01
MRPL35,0.006811546377801498,BC11,0.01
ZNF32,0.0014725726971014398,BC11,0.01
TPGS1,-0.06257441444866518,BC11,0.01
BAIAP2,-0.03928861999835239,BC11,0.01
NIPSNAP1,-0.005105164863206033,BC11,0.01
AKT1S1,-0.01733367641787315,BC11,0.01
HSBP1L1,-0.06230929634873537,BC11,0.01
HTATSF1,0.01516880310781921,BC11,0.01
DCTN1,2.5004730553110865e-05,BC11,0.01
C15orf40,-0.0026274858121896902,BC11,0.01
PIGF,0.012688476160483415,BC11,0.01
TP53I11,0.0099225633912431,BC11,0.01
PTPN18,0.01654091790845001,BC11,0.01
HOXB2,0.08731343150781823,BC11,0.01
OGFR,-0.016224288901989056,BC11,0.01
XAB2,-0.036047320814687554,BC11,0.01
TLE3,-0.03269003914508664,BC11,0.01
APTR,0.07028939355006496,BC11,0.01
PTGER3,0.05348642213759828,BC11,0.01
GNPAT,-0.012490348482838138,BC11,0.01
FAM210B,-0.010065725885275604,BC11,0.01
ABHD14B,0.06439472321744044,BC11,0.01
ACY1,-0.012262094852353734,BC11,0.01
HDDC3,0.035776082481770825,BC11,0.01
HOXB6,0.07369587431797466,BC11,0.01
GPS1,-0.005501415402031076,BC11,0.01
NFKBIZ,0.04895575663326812,BC11,0.01
TMEM223,-0.03889364039227629,BC11,0.01
FUNDC1,-0.011854709426385227,BC11,0.01
RMND1,-0.02026360677141597,BC11,0.01
TM2D3,-0.00834294877668628,BC11,0.01
CDS1,-0.007430902129703518,BC11,0.01
STC1,0.05408919684748268,BC11,0.01
FAM200B,-0.02826037174142685,BC11,0.01
MT-ND6,-0.05048810803684334,BC11,0.01
PSME3IP1,0.03427776341321553,BC11,0.01
KEAP1,-0.03569077126053193,BC11,0.01
SYNJ2BP,-0.023407131307439065,BC11,0.01
ITPK1,0.02704688764170558,BC11,0.01
COPS7A,0.01555961826033483,BC11,0.01
RXYLT1,0.0725731709832031,BC11,0.01
ARSD,0.0011011764504039237,BC11,0.01
SERPINA5,0.015632293559478434,BC11,0.01
IMMP1L,-0.007185175566223321,BC11,0.01
KIF21A,-0.014255026800075407,BC11,0.01
ZFX,-0.0025257958229724714,BC11,0.01
HOXB5,0.12404036866354605,BC11,0.01
ZNF467,-0.0011423751084864877,BC11,0.01
TSPAN1,0.031754642952104346,BC11,0.01
LY6E,-0.00976335665808668,BC11,0.01
FBXO21,-0.020558619312466886,BC11,0.01
HAGHL,-0.05051265583309263,BC11,0.01
ANXA9,0.062295238231201124,BC11,0.01
MALSU1,-0.007238010296862604,BC11,0.01
PIK3R1,0.07603282902380226,BC11,0.01
NCBP2AS2,-0.0005083359203857801,BC11,0.01
BLCAP,0.025522433359575922,BC11,0.01
TMX1,0.02411306994716793,BC11,0.01
MRPL11,0.06451185817053778,BC11,0.01
GLCE,0.06632535133514635,BC11,0.01
OARD1,-0.03539057394766541,BC11,0.01
IGF1R,-0.040017407772967764,BC11,0.01
H2BC15,-0.03233356030567781,BC11,0.01
LINC00472,0.0002818862794800379,BC11,0.01
LDOC1,0.04828294924610747,BC11,0.01
HOXB-AS3,0.12862667759375507,BC11,0.01
RASD1,0.045641726943690016,BC11,0.01
TTC14,-0.04546166923897943,BC11,0.01
SEPTIN8,0.06737361185817488,BC11,0.01
CRELD1,-0.033664409588480305,BC11,0.01
WASHC3,0.05182704671083643,BC11,0.01
CEACAM5,0.056731564961089394,BC11,0.01
HDGFL3,0.005434528640971425,BC11,0.01
TAOK3,-0.015479028442510727,BC11,0.01
PDE4DIP,0.026441807896109906,BC11,0.01
VPS51,0.029588213816246673,BC11,0.01
HSPH1,0.005021463908835552,BC11,0.01
DEGS2,-0.0075980806872774295,BC11,0.01
CCDC151,0.020686708380256102,BC11,0.01
STAU2,0.04328493309807252,BC11,0.01
MRFAP1L1,0.03635562594373646,BC11,0.01
IER5,-0.03851455332352175,BC11,0.01
PSIP1,0.04335637943798893,BC11,0.01
TMEM98,0.06589352617437522,BC11,0.01
IFI27L1,0.07644684190329544,BC11,0.01
AUTS2,0.059225254803801954,BC11,0.01
SNX10,0.030277113520272216,BC11,0.01
ALDH3B2,0.04784190528256864,BC11,0.01
FGD5-AS1,-0.01674980254500119,BC11,0.01
PDRG1,0.019182255480654272,BC11,0.01
MYL9,0.04004302653546633,BC11,0.01
TCTN1,0.03814266823099272,BC11,0.01
AC068888.1,0.021652601699062655,BC11,0.01
C3orf14,0.019470436443252994,BC11,0.01
DACH1,-0.011337904636920162,BC11,0.01
SYT1,0.009982275170594463,BC11,0.01
HSPB8,0.12151015415065976,BC11,0.01
RAMP3,0.029300599606640818,BC11,0.01
CD81,-0.007143618291710059,BC11,0.01
GATAD1,-0.03098741390142259,BC11,0.01
STMN3,0.06545656774087961,BC11,0.01
LAPTM4B,-0.006070614922142953,BC11,0.01
ZNF44,-0.0019580663440243833,BC11,0.01
TMX4,0.006690752663729109,BC11,0.01
CDKN1C,0.017966518580234844,BC11,0.01
CCDC115,0.03976546827931334,BC11,0.01
C22orf39,-0.018966912821687994,BC11,0.01
SLC2A10,-0.011827673259236863,BC11,0.01
PPP2R5A,-0.08635047759364188,BC11,0.01
EXOSC3,0.03776335490468178,BC11,0.01
GAS2L1,0.044197294685950635,BC11,0.01
MT1F,0.02090498747455273,BC11,0.01
KAZALD1,0.037253757672195166,BC11,0.01
SLC49A3,0.08936448707599362,BC11,0.01
DNAJC30,0.019238009533773665,BC11,0.01
IRX5,0.03150309613890438,BC11,0.01
CPD,-0.0004545806035619712,BC11,0.01
RNF14,0.0014206073335052455,BC11,0.01
IFI6,-0.07036383796173773,BC11,0.01
E4F1,0.04245574743631464,BC11,0.01
NR4A1,-0.0745932420943974,BC11,0.01
THBS1,0.05779373472330472,BC11,0.01
TACO1,0.010856166615183058,BC11,0.01
PFDN6,-0.0023750039403357126,BC11,0.01
WNK1,-0.043135769654764004,BC11,0.01
DEDD2,0.03334598118008729,BC11,0.01
PREX1,-0.010582603241209486,BC11,0.01
GOT2,-0.01704212063182633,BC11,0.01
DDX42,-0.031560057642884866,BC11,0.01
PIGS,0.006221475130646071,BC11,0.01
MSMB,-0.019573241029428,BC11,0.01
ISOC1,0.09112244539527994,BC11,0.01
RBL2,0.02548408329197869,BC11,0.01
NPEPL1,0.01996585782611449,BC11,0.01
TRPT1,0.025035176472815845,BC11,0.01
HOXB7,0.051458690552356044,BC11,0.01
SCNN1A,0.0076751413293091745,BC11,0.01
SLC35E3,0.012483321820459602,BC11,0.01
ZNF587,-0.01441844040597077,BC11,0.01
CTPS2,0.002026963806564052,BC11,0.01
MB,0.06024333940759043,BC11,0.01
FAM89B,0.04077525897992107,BC11,0.01
UBE2S,0.017390473967697013,BC11,0.01
FBLN1,0.0572747708499896,BC11,0.01
RAB1B,0.013592944166599947,BC11,0.01
NUDT9,0.027566575265516004,BC11,0.01
TXNDC15,0.009064876761489569,BC11,0.01
ZCCHC10,0.025693240423489652,BC11,0.01
CRBN,-0.004199250711642037,BC11,0.01
RING1,0.018724940414011054,BC11,0.01
SUMF1,0.004205285768816913,BC11,0.01
MYLIP,0.05361248142103918,BC11,0.01
PCP2,0.030115113496776133,BC11,0.01
MRPL45,0.053384104879269596,BC11,0.01
KLHDC3,0.03397929939035453,BC11,0.01
INO80C,0.030430253780360395,BC11,0.01
LY6K,0.20583602144322882,BC11,0.01
ADCY1,-0.006560991190786283,BC11,0.01
JARID2,0.014001182033485214,BC11,0.01
TPP1,-0.006684246534111997,BC11,0.01
HAUS1,0.09628103997429488,BC11,0.01
TMEM54,0.0027925943451126596,BC11,0.01
ADIPOR2,0.006178303241381287,BC11,0.01
PTPRA,0.00015693022753906312,BC11,0.01
ZNF444,0.02180909996010238,BC11,0.01
MAGED1,-0.06404736844259976,BC11,0.01
OAZ3,0.044602269187436504,BC11,0.01
AIP,0.06244662648340776,BC11,0.01
MRS2,0.042169639843860775,BC11,0.01
SMC4,0.010202730049956204,BC11,0.01
SLC2A4RG,-0.0005334894582755992,BC11,0.01
DCAF10,-0.02286806986332644,BC11,0.01
STX16,-0.043872191617381616,BC11,0.01
ATPAF1,0.007075590730384705,BC11,0.01
DYNC1LI2,-0.0411489983464887,BC11,0.01
NFATC4,0.13718314588185673,BC11,0.01
DHRSX,0.0713688525270235,BC11,0.01
GOLM2,-0.02740701392141385,BC11,0.01
HOXC10,0.03952739370350136,BC11,0.01
MDM2,0.0074454172065620385,BC11,0.01
CMTM8,0.035659471477787516,BC11,0.01
MAGI1,-0.04000772990353166,BC11,0.01
NCOA4,0.03412941873891483,BC11,0.01
G6PC3,0.029859307636442865,BC11,0.01
ZFAND2A,0.011230224306420213,BC11,0.01
IDH3B,-0.020740292933495712,BC11,0.01
SERPINI1,0.14423114056795813,BC11,0.01
NABP2,0.025683570390950438,BC11,0.01
SLC25A1,-0.03682824232125631,BC11,0.01
AC008268.1,-0.0074256586669129284,BC11,0.01
ASXL1,0.018951248065262768,BC11,0.01
GNS,0.004634191740539332,BC11,0.01
MBTPS1,0.0031706214966983164,BC11,0.01
NSL1,0.0455434910191905,BC11,0.01
MAT2A,-0.015555353416397681,BC11,0.01
STYXL1,0.02931358364070247,BC11,0.01
NSD1,0.032266773347477205,BC11,0.01
SRARP,-0.006864858213158323,BC11,0.01
TUG1,-0.01572896755210774,BC11,0.01
ELP5,0.029396491240310182,BC11,0.01
COG2,0.011919760002435218,BC11,0.01
RGS16,0.09558209512737553,BC11,0.01
MINDY1,0.011985961733736653,BC11,0.01
USP9X,0.02487433100799384,BC11,0.01
BATF,-0.01907331339109056,BC11,0.01
ZNF75A,0.014012491366889252,BC11,0.01
AFTPH,-0.07644134047642903,BC11,0.01
MLST8,-0.02371058720026314,BC11,0.01
ACOT8,-0.02128271222279459,BC11,0.01
MRPL2,0.03934386056704384,BC11,0.01
TRAK1,0.005802358844701305,BC11,0.01
CEACAM6,0.1309140315848711,BC11,0.01
NSMCE4A,-0.013997368325698383,BC11,0.01
CHMP1A,0.001957977171936235,BC11,0.01
NECAP1,0.03033598236657349,BC11,0.01
AC018521.5,0.005578673015628526,BC11,0.01
SMARCD2,-0.0028841602883440515,BC11,0.01
GAA,0.006872504113267635,BC11,0.01
NFYC,0.024529193424525222,BC11,0.01
CZIB,0.019589172373888557,BC11,0.01
CFD,0.021955075895195658,BC11,0.01
IRS1,-0.02447526291708441,BC11,0.01
LMTK3,0.01110525490380891,BC11,0.01
AMFR,0.03136858611998167,BC11,0.01
PPP1R37,0.008926886351160753,BC11,0.01
ANKRD11,-0.030409932996335425,BC11,0.01
GPRC5C,-0.011350169966232539,BC11,0.01
OLMALINC,0.008981575813186328,BC11,0.01
STK24,-0.036843413441226755,BC11,0.01
TSPYL2,-0.03739401534379126,BC11,0.01
INSIG1,-0.05069309510156972,BC11,0.01
SIRT2,0.025942473575049294,BC11,0.01
EPM2AIP1,-0.0005854164479514743,BC11,0.01
NDRG3,0.004962545078941035,BC11,0.01
MAVS,-0.03520858920109101,BC11,0.01
ZMPSTE24,-0.006863398186448392,BC11,0.01
ROGDI,0.011119413463323801,BC11,0.01
PDCD7,-0.0285175477025552,BC11,0.01
ENPP5,0.09421342939502346,BC11,0.01
SYT13,0.135585179404244,BC11,0.01
ELOVL2,0.09370148993950168,BC11,0.01
ATP6V1A,-0.01687685054349118,BC11,0.01
ANKRD40,-0.008237940042352789,BC11,0.01
SLC27A2,0.1223321519528118,BC11,0.01
CMC4,0.01230133511734039,BC11,0.01
GEMIN8,0.06037191230747352,BC11,0.01
ZNF688,0.015394193795103744,BC11,0.01
MRPS25,-0.01974511335933767,BC11,0.01
POLR1H,0.01444719875016161,BC11,0.01
TBCC,0.016550224749184154,BC11,0.01
MTERF2,-0.0008728806026788968,BC11,0.01
KCNK15,0.038022219323834545,BC11,0.01
ACP5,-0.013618618445864676,BC11,0.01
CDK12,0.033924523607444336,BC11,0.01
ATF7,0.01739790503527229,BC11,0.01
KDM2A,-0.023242643996683972,BC11,0.01
NCOA3,0.0442074424614058,BC11,0.01
FGF2,0.1840892612142673,BC11,0.01
TIMM10B,0.014119597789919744,BC11,0.01
GUCD1,-0.013674719603955603,BC11,0.01
PAK4,-0.010240464451924511,BC11,0.01
MOAP1,-0.03916355981242038,BC11,0.01
WWOX,0.12752878333933276,BC11,0.01
COQ9,0.000274524557744533,BC11,0.01
PANK3,-0.019269287838553868,BC11,0.01
SLC35C2,0.033228435679068996,BC11,0.01
RITA1,0.03654108073257241,BC11,0.01
RELL1,-0.023158265504916623,BC11,0.01
RAMP2,0.0050113396222073335,BC11,0.01
ALDH7A1,0.03064895265804505,BC11,0.01
HIBADH,-0.014641433150759544,BC11,0.01
SKA2,0.03387853078794247,BC11,0.01
SLC9A3R2,-0.021274327108125143,BC11,0.01
VPS26B,-0.018438838180092613,BC11,0.01
HID1,-0.06519438897876767,BC11,0.01
SDSL,0.007831385310601558,BC11,0.01
GSE1,-0.01650889858861107,BC11,0.01
SAMM50,0.019069027252094584,BC11,0.01
POR,-0.0026805350986479526,BC11,0.01
DNAJA3,0.0500415807846315,BC11,0.01
MRPL15,0.030233507473439877,BC11,0.01
TAF10,0.011026790942842618,BC11,0.01
BRAF,-0.04290573759022344,BC11,0.01
CXCL17,0.17226222608838143,BC11,0.01
LTBP4,-0.01651577594049647,BC11,0.01
CLEC3A,0.08918215990635853,BC11,0.01
PCYOX1,0.0016221965115630077,BC11,0.01
CALCOCO2,-0.03286285696128152,BC11,0.01
NSF,0.0036243357986944507,BC11,0.01
MDP1,-0.03525601648138835,BC11,0.01
SLC1A5,-0.026587783443505632,BC11,0.01
PHYH,-0.03607952925453555,BC11,0.01
ZNF652,-0.06545437052649562,BC11,0.01
TMEM25,0.00923416531564542,BC11,0.01
NTN4,0.016508815833113713,BC11,0.01
NUDT16,-0.013706143233348577,BC11,0.01
UNC119,0.0033201184111549655,BC11,0.01
SLC25A24,0.0011369679958120461,BC11,0.01
PTPN1,-0.01218910933545335,BC11,0.01
ARMC1,0.032903155812082245,BC11,0.01
GREB1,-0.04308550264648336,BC11,0.01
RHPN1,0.010236187869914303,BC11,0.01
RPS6KB1,-0.03877736427678484,BC11,0.01
TMEM35B,0.033631590154901525,BC11,0.01
ECPAS,0.03187089034849373,BC11,0.01
GLT8D1,0.02878591957738425,BC11,0.01
SLC38A10,-0.017725007490024893,BC11,0.01
PNPO,0.010213620219052576,BC11,0.01
AC091271.1,0.01161840932716505,BC11,0.01
EPS15L1,-0.004913330864722435,BC11,0.01
SNRNP35,0.007016836534005889,BC11,0.01
CYP4B1,0.1315625986956688,BC11,0.01
TMEM192,-0.025117231525927864,BC11,0.01
EGFL7,-0.007919304315861827,BC11,0.01
PCMTD2,0.004918705314318015,BC11,0.01
POP4,0.012495078516985432,BC11,0.01
MFSD1,0.0028195854888389,BC11,0.01
EIF2AK2,-0.06329642806996451,BC11,0.01
C5orf15,-0.013092163760821795,BC11,0.01
YTHDF1,-0.008605147661566635,BC11,0.01
TTC17,-0.028931593450386837,BC11,0.01
VPS4A,0.001240183249785071,BC11,0.01
FUBP1,0.01984890384804767,BC11,0.01
CFAP20,0.010072616434485756,BC11,0.01
RNF135,0.009644499473226837,BC11,0.01
DNAJC10,-0.07170575736613277,BC11,0.01
PITX1,0.16532945233724758,BC11,0.01
KLHL5,0.05024114746125143,BC11,0.01
ANKRD26,0.016175812384624007,BC11,0.01
APOE,0.059858434317970784,BC11,0.01
MT1G,0.11077711187365266,BC11,0.01
CGA,-0.031491673609261514,BC11,0.01
USP32,-0.03585092966271693,BC11,0.01
PCCA-DT,-0.0107620838164827,BC11,0.01
DMAC2,-0.0004232300762212666,BC11,0.01
IDNK,0.060110920151881506,BC11,0.01
TMEM64,-0.04520053944029894,BC11,0.01
AGPAT1,0.050403723591521336,BC11,0.01
LENG1,0.03728517284938303,BC11,0.01
LINC02802,0.07080381888536122,BC11,0.01
PDK2,0.05345669722964555,BC11,0.01
FAM3B,-0.03869957553573269,BC11,0.01
NDRG2,0.003328528323636398,BC11,0.01
OSBPL8,-0.003998326589454874,BC11,0.01
RBP7,0.03948835276278516,BC11,0.01
DHRS2,-0.05337501917967273,BC11,0.01
SLC30A1,0.081589190293772,BC11,0.01
RCC1L,-0.032403580855155656,BC11,0.01
VWA1,0.10179183364683891,BC11,0.01
HOPX,-0.01745085105450682,BC11,0.01
FAM234A,0.04973803273969947,BC11,0.01
MTARC1,-0.011019094845165512,BC11,0.01
PDZK1,-0.06218144947241337,BC11,0.01
RAD9A,0.05213185394145494,BC11,0.01
GOT1,0.04622862762565417,BC11,0.01
FBXO9,0.0031247811884782036,BC11,0.01
FDXR,0.016990366799050794,BC11,0.01
C20orf204,-0.059877371694558694,BC11,0.01
RIDA,0.027934046729237223,BC11,0.01
ZFHX3,-0.024449760649744322,BC11,0.01
PXMP4,0.037246275835780725,BC11,0.01
ARHGAP35,0.058325652610624945,BC11,0.01
VAMP5,0.056712210717706456,BC11,0.01
LIG3,-0.04213780129447306,BC11,0.01
ALG3,0.06202575230138639,BC11,0.01
AP1S2,0.03832960481073997,BC11,0.01
TMEM60,0.011844013729495501,BC11,0.01
C6orf89,-0.011692797229899033,BC11,0.01
SYNGR1,-0.044313142371214684,BC11,0.01
PVALB,0.2107087501760255,BC11,0.01
APPBP2,-0.05047345481125761,BC11,0.01
GCDH,0.018671858679484125,BC11,0.01
LENG8,0.04472694495002821,BC11,0.01
MYB,0.02387205013695096,BC11,0.01
TTC36,0.016067504771984643,BC11,0.01
C6orf226,0.00045693026654156316,BC11,0.01
RAD51C,0.0283240121897723,BC11,0.01
ARAF,-0.029090698321906024,BC11,0.01
PEPD,-0.017715115196959213,BC11,0.01
CHCHD6,0.051573863439585234,BC11,0.01
SULT1A1,-0.0011099737515427263,BC11,0.01
KCNJ3,0.15118343851095878,BC11,0.01
KIF3B,0.03470315943922254,BC11,0.01
SLC35B2,0.014587863908798217,BC11,0.01
HSD17B8,0.030574414564200937,BC11,0.01
TXLNG,0.04130720943500126,BC11,0.01
ZNF749,-0.0017925712980586608,BC11,0.01
CHAD,0.09428111896196141,BC11,0.01
ALB,0.20063503995866927,BC11,0.01
CST5,0.18122177287243904,BC11,0.01
AGTR1,0.13917604607180367,BC11,0.01
NEFH,0.15584333769426148,BC11,0.01
H1-2,-0.007272924576244528,BC12,0.01
CHCHD10,0.10956880164981751,BC12,0.01
DBI,-0.001509314526051627,BC12,0.01
SLC9A3R1,0.05103949731116736,BC12,0.01
MPC2,-0.05405623889630333,BC12,0.01
FKBP4,0.03898754141953802,BC12,0.01
PRSS23,0.024143319120249328,BC12,0.01
GLRX5,0.09043333708149107,BC12,0.01
FCGRT,0.05809973290072544,BC12,0.01
HSPA1A,-0.035874843359396676,BC12,0.01
TMEM160,0.037701077497817814,BC12,0.01
NDUFAB1,0.049668981990682586,BC12,0.01
GATA3,-0.04839550443297559,BC12,0.01
ATP5MC3,-0.017486466702719923,BC12,0.01
COX7B,-0.030461193044496966,BC12,0.01
NUCB2,-0.07088226419502813,BC12,0.01
HSBP1,0.028631497377274162,BC12,0.01
HSPE1,0.01623635641769474,BC12,0.01
HERPUD1,-0.002953865375259394,BC12,0.01
ATP6AP2,0.04039444959721948,BC12,0.01
ATP5F1A,-0.009343577466459706,BC12,0.01
COX8A,-0.03139508034970006,BC12,0.01
H2AJ,-0.07689578811121439,BC12,0.01
TMEM230,-0.004478510821853159,BC12,0.01
RETREG1,0.12738964408291525,BC12,0.01
GPX1,0.018661615706469126,BC12,0.01
ATP5PD,0.00013682458542578182,BC12,0.01
COX5B,-0.08091734919872773,BC12,0.01
NDUFB7,0.016966296305119654,BC12,0.01
ETFB,0.019329801990390368,BC12,0.01
NDUFB10,-0.047919774638074966,BC12,0.01
COX5A,-0.02483093429460709,BC12,0.01
CST3,-0.149385012908695,BC12,0.01
NDUFB9,-0.03698377736753117,BC12,0.01
MDH2,0.007712770253478337,BC12,0.01
UQCR10,-0.039410859632822495,BC12,0.01
ATP5F1B,-0.06406414740451824,BC12,0.01
DCAF6,0.04060543680055146,BC12,0.01
CYC1,-0.035355123535390914,BC12,0.01
NDUFB5,-0.008694492115363335,BC12,0.01
IDH2,-0.02504121390613581,BC12,0.01
PRDX2,-0.04791555026293506,BC12,0.01
CKB,0.08737345437848193,BC12,0.01
GABARAPL2,-0.05980542568092411,BC12,0.01
UQCRH,-0.11136689809790087,BC12,0.01
CLU,-0.0682387366485955,BC12,0.01
EPN3,0.10581874733489251,BC12,0.01
C18orf32,-0.06339198053781249,BC12,0.01
NDUFA1,0.01631915543227004,BC12,0.01
FXYD3,-0.07074514782421373,BC12,0.01
PEBP1,-0.11536201111451594,BC12,0.01
CLDN3,-0.024053899148917517,BC12,0.01
HSPD1,-0.06942255509196946,BC12,0.01
NDUFAF3,0.02877924605702702,BC12,0.01
NDUFB4,-0.08535550473845334,BC12,0.01
COX14,0.035469693146530194,BC12,0.01
PBX1,0.02605072747462513,BC12,0.01
ATP5ME,-0.008084155916627488,BC12,0.01
SLC39A6,-0.0895839385111925,BC12,0.01
CKS2,0.037236115434424275,BC12,0.01
DYNLRB1,-0.04283155629077579,BC12,0.01
NDUFS6,0.039921017200437225,BC12,0.01
STARD10,-0.009206543546217145,BC12,0.01
TBC1D9,0.025719117853690618,BC12,0.01
PAFAH1B3,-0.02813880462078226,BC12,0.01
ATP5MC1,-0.043499252398160125,BC12,0.01
SELENOP,0.023456780335068463,BC12,0.01
NDUFA7,-0.005248243656113362,BC12,0.01
PRKAR1A,-0.0012521529157096148,BC12,0.01
RBBP7,-0.031653495246014955,BC12,0.01
SCD,0.03680285070161313,BC12,0.01
MORF4L2,-0.1407850152463065,BC12,0.01
ATP6AP1,0.016148935355610558,BC12,0.01
NDUFA12,0.01801862118494049,BC12,0.01
TOMM6,-0.035524276452917045,BC12,0.01
C1orf43,-0.08231153621279298,BC12,0.01
COX17,-0.05517997918415524,BC12,0.01
BEX3,-0.04993303512470174,BC12,0.01
GTF2I,0.04609713860857023,BC12,0.01
PRDX5,-0.06443893529134649,BC12,0.01
VAMP8,-0.0430541404858063,BC12,0.01
ACO2,0.03931139946936605,BC12,0.01
NDUFA6,0.01225085890352918,BC12,0.01
IGFBP4,0.034785299864789385,BC12,0.01
ERP29,-0.018771254740090768,BC12,0.01
MZT2B,-0.01061233538054588,BC12,0.01
NQO1,0.004726845053166203,BC12,0.01
HACD3,-0.009590096114037714,BC12,0.01
MRPL27,0.07091382085711107,BC12,0.01
MAGED2,-0.05908481861515446,BC12,0.01
DYNLL1,-0.12447827250418456,BC12,0.01
HINT2,0.05888141067939361,BC12,0.01
ESR1,0.07306850778895187,BC12,0.01
NDUFS2,-0.012988883977380928,BC12,0.01
MRPS7,0.01392583361241459,BC12,0.01
TEX264,0.00867312215619273,BC12,0.01
CALR,-0.08955084869172658,BC12,0.01
CAPG,0.05204304977133597,BC12,0.01
BANF1,-0.024275581670770638,BC12,0.01
SSR3,-0.016133892104696984,BC12,0.01
ANAPC11,-0.05217027092670559,BC12,0.01
NDUFA8,0.019620293477418595,BC12,0.01
CERS2,0.015215110291583516,BC12,0.01
NAXE,-0.02849741561928216,BC12,0.01
MRPS26,0.03152605262940932,BC12,0.01
TMED2,-0.09102693968390879,BC12,0.01
RSBN1L,0.013218581467974128,BC12,0.01
NDUFB1,-0.04766066957173115,BC12,0.01
TM7SF2,0.04404837963169812,BC12,0.01
SNF8,0.06759415487962452,BC12,0.01
CANX,-0.03666084868419451,BC12,0.01
SRI,-0.0006532379665860093,BC12,0.01
TMEM14B,-0.037639116047665386,BC12,0.01
SELENOT,0.010252650061908715,BC12,0.01
ARL6IP4,-0.06090021617478045,BC12,0.01
COX7A2L,0.007669737448663982,BC12,0.01
SNHG25,0.059478020218102376,BC12,0.01
GASK1B,0.09480616019227166,BC12,0.01
YWHAQ,-0.029984054567085913,BC12,0.01
MRPS24,-0.009606041284899364,BC12,0.01
NDUFB8,0.018146772628930035,BC12,0.01
SMDT1,0.01714182845598065,BC12,0.01
DNPH1,0.06366477903775618,BC12,0.01
MRPS12,-0.002905191849754036,BC12,0.01
NENF,-0.09687356301436838,BC12,0.01
H2BC5,-0.008534005685394336,BC12,0.01
SARAF,-0.07145967367948168,BC12,0.01
TECR,-0.015486011345908164,BC12,0.01
TSPAN13,-0.08058417797200028,BC12,0.01
COPS9,-0.007020396525682813,BC12,0.01
PCBD1,0.0056623134710596205,BC12,0.01
PMVK,0.03149349683495657,BC12,0.01
CSAD,0.009791154668929556,BC12,0.01
APRT,-0.025937701459035473,BC12,0.01
RTN3,-0.025803811984952584,BC12,0.01
MRPL23,0.03244215916145021,BC12,0.01
CMTM6,-0.01980692542103923,BC12,0.01
NDUFS3,-0.01946883708118105,BC12,0.01
PLAAT3,-0.09647412130770457,BC12,0.01
PCMTD1,-0.01952862343941416,BC12,0.01
GADD45GIP1,-0.018053310869799447,BC12,0.01
MRPS34,-0.06591120008615295,BC12,0.01
TNNT1,0.06043977002505747,BC12,0.01
MRPL12,0.01943241554950936,BC12,0.01
HPN,0.06630038947960115,BC12,0.01
P4HTM,-0.0027764898224456338,BC12,0.01
CTSF,0.05067877613627807,BC12,0.01
GCSH,-0.025039403853546794,BC12,0.01
MRPL57,-0.005829567720929069,BC12,0.01
MRPS23,0.06254011907969642,BC12,0.01
MRFAP1,-0.00039779470729983077,BC12,0.01
PTMS,-0.0003473591687826542,BC12,0.01
ATP5PB,-0.01420112558166278,BC12,0.01
GHITM,0.01691171765373607,BC12,0.01
PIGT,0.018771653447616443,BC12,0.01
PTGES3,-0.08694379168423429,BC12,0.01
TRMT112,-0.08722144812164848,BC12,0.01
TOB1,-0.06088749300607674,BC12,0.01
PHPT1,-0.0013754409646019885,BC12,0.01
EGR1,0.031172240269678506,BC12,0.01
NDUFAF8,-0.0427013227205665,BC12,0.01
AHCYL1,0.03483759385273852,BC12,0.01
CALM3,-0.012127396900145053,BC12,0.01
ZCRB1,-0.018763951650915767,BC12,0.01
RERG,0.08867570400748712,BC12,0.01
NDUFS7,0.004936057444628453,BC12,0.01
SCAND1,0.03741840692686456,BC12,0.01
SEC11C,-0.00970330328982177,BC12,0.01
NDUFB6,0.0068189914963669605,BC12,0.01
GGA2,-0.010872052882002846,BC12,0.01
COA3,-0.010151860247473348,BC12,0.01
UGCG,-0.022044845969030284,BC12,0.01
PXMP2,0.06863225867381666,BC12,0.01
SELENOW,-0.07154421866591837,BC12,0.01
TMEM14A,-0.012515388102844428,BC12,0.01
PPP1CA,-0.008500953117933493,BC12,0.01
DDRGK1,-0.017171342760748817,BC12,0.01
MRPL24,-0.005598338374035534,BC12,0.01
MRPL40,0.04733632605391689,BC12,0.01
BTG2,-0.09073874662346393,BC12,0.01
MAST4,0.060473203255287884,BC12,0.01
MICOS13,-0.020254018237157764,BC12,0.01
RWDD4,0.06289390112456116,BC12,0.01
NDUFV1,-0.038192257043735606,BC12,0.01
UQCC3,0.029559447278192114,BC12,0.01
LSM4,0.0173411552281594,BC12,0.01
H2BC21,-0.02778285230922666,BC12,0.01
RPN2,-0.08288037711162671,BC12,0.01
MIEN1,-0.08828893058607998,BC12,0.01
AMZ2,0.14778725412815433,BC12,0.01
ANAPC16,-0.04001190519710513,BC12,0.01
MZT2A,-0.0648408193782816,BC12,0.01
YIF1A,-0.05426023862083348,BC12,0.01
C11orf58,-0.0974313490238755,BC12,0.01
PDHB,0.034446666442974394,BC12,0.01
TRAPPC6A,-0.02672571356112807,BC12,0.01
FDPS,-0.02610827454803206,BC12,0.01
DCXR,-0.04665542783449005,BC12,0.01
CMBL,0.05511861453900022,BC12,0.01
