gene,coefficient,test_sample,selected_C
RTN3,-0.006679089929845339,BC11,0.01
MRPL23,0.02788264699971519,BC11,0.01
CMTM6,-0.007074422429458664,BC11,0.01
NDUFS3,0.003363206312385949,BC11,0.01
PLAAT3,0.11991613114846363,BC11,0.01
PCMTD1,0.028525446626040032,BC11,0.01
GADD45GIP1,-0.014421915344896678,BC11,0.01
MRPS34,-0.0007084650463481963,BC11,0.01
TNNT1,0.1317027008968211,BC11,0.01
MRPL12,0.07316765575993261,BC11,0.01
HPN,0.06454245215271892,BC11,0.01
P4HTM,0.01616578730195945,BC11,0.01
CTSF,0.10317102170544372,BC11,0.01
GCSH,0.04315272833462646,BC11,0.01
MRPL57,-0.04607200270827363,BC11,0.01
MRPS23,-0.0029082270171931325,BC11,0.01
MRFAP1,-0.10773310250308457,BC11,0.01
PTMS,-0.04662123720176291,BC11,0.01
ATP5PB,-0.016859527610474104,BC11,0.01
GHITM,-0.06234098087333495,BC11,0.01
PIGT,-0.019100811182258117,BC11,0.01
PTGES3,-0.06177150127528948,BC11,0.01
TRMT112,-0.06281113804751115,BC11,0.01
TOB1,-0.0592149366177445,BC11,0.01
PHPT1,-0.03988663155069018,BC11,0.01
EGR1,0.038841540086946645,BC11,0.01
NDUFAF8,0.0034799153634154545,BC11,0.01
AHCYL1,0.012060814042919182,BC11,0.01
CALM3,0.018249158561221474,BC11,0.01
ZCRB1,0.010898836105141233,BC11,0.01
RERG,0.048709737575725644,BC11,0.01
NDUFS7,-0.002772565748902163,BC11,0.01
SCAND1,-0.03887042447292021,BC11,0.01
SEC11C,0.02509006585877527,BC11,0.01
NDUFB6,0.000977317714285253,BC11,0.01
GGA2,0.030527520402407554,BC11,0.01
COA3,-0.0002813003574106517,BC11,0.01
UGCG,0.027143116165695327,BC11,0.01
PXMP2,0.09746342004357474,BC11,0.01
SELENOW,-0.07884777203671245,BC11,0.01
TMEM14A,0.059719723504775814,BC11,0.01
PPP1CA,0.019394124376289724,BC11,0.01
DDRGK1,-0.03331135176837992,BC11,0.01
MRPL24,0.008812943990007597,BC11,0.01
