test_sample,n_test_cells,malignant_test_cells,diploid_test_cells,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1
BC11,461,278,183,0.7448401934190352,0.7426227683250866,0.6377440347071583,0.7788944723618091,0.5575539568345323,0.7595628415300546,0.649895178197065
BC12,412,380,32,0.7894736842105263,0.9627258827456208,0.13349514563106796,0.96,0.06315789473684211,0.96875,0.11851851851851852
BC17,361,359,2,0.9387186629526463,0.999638505754606,0.20498614958448755,1.0,0.20055710306406685,1.0,0.33410672853828305
