metric,mean,std
roc_auc,0.8243441801940693,0.10153412655249246
pr_auc,0.9016623856084379,0.1389634316414825
accuracy,0.3254084433075713,0.27284222941613034
precision,0.912964824120603,0.11781826859848626
recall,0.27375631821181373,0.2551969051107603
specificity,0.9094376138433514,0.13073246022687687
f1,0.3675068084179555,0.2672582320804335
