"sample_id","mean_abs_CNV","median_abs_CNV","positive_CNV_fraction","negative_CNV_fraction"
"BC06",0.0287839418743228,0.0210251378033722,0.0205882352941176,0
"BC11",0.0409459462494455,0.0196728873972411,0.0206747404844291,0.083477508650519
"BC12",0.0460914863919971,0.0374665089646142,0.0284602076124567,0.0616782006920415
"BC17",0.036074286651601,0.0282677311096151,0.00328719723183391,0.0383217993079585
