"chromosome","BC11","BC12","BC17"
"1",-0.0516358638273164,-0.0106508830281281,-0.013233835131267
"10",0.00383820216163877,-0.0789762600076844,0.00147234171584599
"11",-0.0311793603906129,-0.0254013154892779,-0.0156919386850953
"12",-0.0116131712373188,0.0308508288779514,0.0189889564153809
"13",0.0304731838548944,-0.0461695331448581,-0.0820437054072681
"14",0.0154085009962908,-0.0643174968861551,0.0272112349142349
"15",0.0307275448393653,-0.0275917072844151,0.0421176315438904
"16",0.0342938144714756,0.0665889330933555,-0.019394593623414
"17",0.0975116556739701,0.030613180429127,-0.0184802339545859
"18",-0.0309573157987665,-0.00514551309126738,0.0104620948647995
"19",0.0134202684207476,0.0622172481298975,0.0136075880410999
"2",-0.0031127815968279,-0.0440556978257673,0.0284898798054778
"20",0.08537877127217,0.0356036848556179,0.0380247862515743
"21",0.0479500386307458,0.00351685680353978,-0.0864686283963412
"22",0.0377215719048993,0.00151229132710219,0.0572650662087055
"3",0.00139451148494324,0.0384817802399509,0.0242579355011536
"4",0.0058119396324948,-0.0326103133163133,-0.0350117825561309
"5",-0.0793595429783386,0.049862743507019,0.0167116117910936
"6",0.0396385240614478,-0.00210771468008385,-0.0390751433117976
"7",0.0120017936021362,0.00781512426249642,-0.0172670460725626
"8",-0.00635911799086223,0.0236463104730876,-0.0173129524721351
"9",-0.00997410507547569,-0.0052381433774333,0.0231097007029437
