"chromosome","mean_CNV","mean_abs_CNV"
"1",-0.0227733498397269,0.0227733498397269
"10",-0.027883148535471,0.027883148535471
"11",-0.0234891254439394,0.0234891254439394
"12",0.0150745948426428,0.0150745948426428
"13",-0.0378358592020696,0.0378358592020696
"14",-0.0102410962399047,0.0102410962399047
"15",0.0129060287099099,0.0129060287099099
"16",0.0273999913408128,0.0273999913408128
"17",0.0315141976167258,0.0315141976167258
"18",-0.00661230624907506,0.00661230624907506
"19",0.031624082350665,0.031624082350665
"2",-0.0072898820277845,0.0072898820277845
"20",0.0500290730010016,0.0500290730010016
"21",-0.0159257905035915,0.0159257905035915
"22",0.0310449413177915,0.0310449413177915
"3",0.0232229145125378,0.0232229145125378
"4",-0.0229553898591618,0.0229553898591618
"5",0.00283571175261477,0.00283571175261477
"6",-0.00375289267374793,0.00375289267374793
"7",0.000113492067357958,0.000113492067357958
"8",0.00111552487576825,0.00111552487576825
"9",0.00348970254942591,0.00348970254942591
