"copykat.pred","cells","epithelial_score_mean","epithelial_score_median","luminal_score_mean","basal_score_mean"
"aneuploid",1019,0.292713141032501,0.260845453337134,0.433035600673936,-0.00197021622524865
"diploid",2362,0.33368936158312,0.307964647946678,0.424128821241153,0.0222453462813557
"not.defined",614,0.242157472417364,0.218653163022136,0.294286550177933,0.0195145417037786
