"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,10.3027009849159,0.307,0.001,0,"9","MSR1"
0,10.2479710936795,0.404,0.001,0,"9","TREM2"
0,10.235388006796,0.628,0.007,0,"9","C1QA"
0,10.2318557927633,0.598,0.005,0,"9","C1QB"
0,10.0012171600752,0.353,0.001,0,"9","CSF1R"
0,11.7504820319219,0.462,0,0,"10","EMCN"
0,11.2681514144449,0.319,0.001,0,"10","CLEC14A"
0,11.0174052761227,0.269,0.001,0,"10","CCL14"
0,10.9376264689146,0.35,0.001,0,"10","CDH5"
0,10.8158568539769,0.496,0.001,0,"10","MYCT1"
0,10.7472387719473,0.562,0.002,0,"10","PLVAP"
0,10.6752094561682,0.404,0.001,0,"10","SOX17"
0,10.4655557206671,0.25,0.001,0,"10","ESM1"
0,10.3991025553356,0.365,0.001,0,"10","CLDN5"
0,10.146645247759,0.55,0.001,0,"10","ADGRL4"
7.53265827002235e-213,11.1674916033948,0.279,0.016,2.75891141797838e-208,"11","IGHA1"
0,10.7870929834535,0.251,0.001,0,"11","IGHM"
1.06265383451917e-182,10.1130754268194,0.377,0.035,3.8920759343099e-178,"11","IGKC"
0,9.17875890707555,0.348,0.001,0,"11","MS4A1"
0,8.98906589953076,0.538,0.009,0,"11","CD79A"
1.45796737673962e-191,4.5855838950352,0.466,0.051,5.33995131404654e-187,"11","CD83"
3.17873514887402e-198,3.9739226875437,0.583,0.077,1.1642435356266e-193,"11","CD37"
4.32232524732671e-123,3.9169082752023,0.534,0.103,1.58309484508588e-118,"11","HLA-DQB1"
6.06277054299506e-126,3.8654130191653,0.636,0.151,2.22055033907737e-121,"11","HLA-DRA"
1.06935550905921e-94,3.35071931113788,0.567,0.148,3.91662148748026e-90,"11","HLA-DRB1"
0,11.6393601600662,0.272,0,0,"12","KLK5"
0,10.3309706923713,0.56,0.004,0,"12","MMP7"
0,9.50186073288195,0.516,0.002,0,"12","KRT5"
0,9.3817593661597,0.734,0.017,0,"12","KRT14"
0,9.3646840922965,0.516,0.003,0,"12","GABRP"
0,9.14326249841647,0.554,0.004,0,"12","KRT6B"
0,9.13562626665213,0.386,0.001,0,"12","KLK8"
0,8.74595536667417,0.457,0.003,0,"12","MIA"
0,8.23740627025558,0.467,0.003,0,"12","SFRP1"
0,8.1438856168571,0.321,0.002,0,"12","PPP1R14C"
7.05118454063834e-111,5.52975334419479,0.579,0.099,2.5825668498542e-106,"13","APOD"
2.47015973595154e-188,5.39234731225763,0.315,0.017,9.04720704889609e-184,"13","CALML5"
5.3285622070341e-25,4.43749092497489,0.511,0.235,1.95163919394831e-20,"13","MUCL1"
5.35604966567601e-114,4.35650510299278,0.483,0.067,1.9617067505505e-109,"13","SPINK8"
1.08416205413456e-82,4.17512450306936,0.5,0.094,3.97085193947324e-78,"13","SERHL2"
1.27778087521568e-50,3.85918122372519,0.472,0.123,4.68000023356495e-46,"13","IGFBP5"
1.29621471814935e-55,3.71949022394503,0.32,0.055,4.74751602669379e-51,"13","DRAIC"
4.27296915514886e-82,3.6716241273589,0.916,0.371,1.56501768276482e-77,"13","PIP"
2.93956552718387e-25,3.45518604612532,0.32,0.099,1.07664526998636e-20,"13","NUDT8"
2.13384666974612e-29,3.33463657006948,0.404,0.143,7.81542681261215e-25,"13","AC093001.1"
