gene
PRSS23
EPN3
FCGRT
ESR1
CDK4
PCNA
ATP5F1A
ETFB
COX7B
COX8A
NDUFB5
MDH2
SORD
CYC1
ATP5F1B
COX5B
MRPS7
PDHB
CYB561
COX5A
MRPS23
UQCR10
NDUFB7
MRPL27
NDUFB9
NDUFB10
MRPS26
MRPS12
UQCRH
MRPL12
SELENOT
NDUFS2
NDUFA12
NDUFA1
NDUFA8
MRPL23
IDH2
NDUFB4
COX11
NDUFA7
MRPL40
NDUFS6
NDUFS3
CALR
MRPS18A
NDUFV1
MRPS24
IDH1
COX7A2L
NDUFA6
