"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag","final_review_class","review_status","strong_candidate"
7,"PRSS23",0.731177175465214,"Tier_1_Strong_Tumor_Relevant",0.767050935819276,0.767050935819276,1.57640748655421,1.57640748655421,0.739,0.378,0.361,0.758410723407786,0.465789473684211,0.920863309352518,"Consistent_3_of_3",1,0.361,0.739,1,TRUE,TRUE,"Epithelial_Tumor_Relevant","Epithelial_TumorAssociated",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate","Tumor_Epithelial","Standard",TRUE
9,"FCGRT",0.7279716884174,"Tier_1_Strong_Tumor_Relevant",0.757529975309625,0.757529975309625,1.461839802477,1.461839802477,0.708,0.292,0.416,0.723525211497713,0.37883008356546,0.949640287769784,"Consistent_3_of_3",1,0.416,0.708,1,TRUE,TRUE,"Epithelial_Tumor_Relevant","Epithelial_TumorAssociated",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate","Tumor_Epithelial","Standard",TRUE
