"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag","strong_candidate","strong_3sample","review_category","final_review_status","pathway_support_score","biological_relevance_score","consistency_penalty","review_penalty","final_biological_score","tumor_priority_score","OXPHOS_priority_score","final_panel_rank"
332,"SPOP",0.561596863457806,"Tier_3_Exploratory_Robust",0.6484253052906,0.6484253052906,1.1922024423248,1.1922024423248,0.466,0.185,0.281,0.470508817985928,0.397368421052632,0.507194244604317,"Consistent_3_of_3",1,0.281,0.466,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.40968506105812,0,0,0.40968506105812,0.62634885685171,0.72772759158718,263
158,"TOB1",0.623635909907035,"Tier_3_Exploratory_Robust",0.648405461587555,0.648405461587555,0.696043692700439,0.696043692700439,0.777,0.497,0.28,0.787195840747135,0.554317548746518,0.938848920863309,"Consistent_3_of_3",1,0.28,0.777,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.409681092317511,0,0,0.409681092317511,0.688341911555644,0.789921638476267,264
132,"PMVK",0.636300032952547,"Tier_3_Exploratory_Robust",0.647434654643252,0.647434654643252,0.576277237146016,0.576277237146016,0.831,0.535,0.296,0.826709850416105,0.79136690647482,0.892105263157895,"Consistent_3_of_3",1,0.296,0.831,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.40948693092865,0,0,0.40948693092865,0.702002129125138,0.800430396392976,265
196,"TRAPPC6A",0.607370887999608,"Tier_3_Exploratory_Robust",0.646838368120163,0.646838368120163,0.785906944961308,0.785906944961308,0.661,0.329,0.332,0.654767492266266,0.600719424460432,0.736842105263158,"Consistent_3_of_3",1,0.332,0.661,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.409367673624033,0,0,0.409367673624033,0.674993428842057,0.766251510436049,266
177,"DDRGK1",0.619094923866197,"Tier_3_Exploratory_Robust",0.645523194895922,0.645523194895922,0.698585559167374,0.698585559167374,0.766,0.491,0.275,0.767406324170981,0.685236768802228,0.818421052631579,"Consistent_3_of_3",1,0.275,0.766,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.409104638979184,0,0,0.409104638979184,0.684133118213573,0.786856958468777,267
268,"EIF2AK1",0.584599085283192,"Tier_3_Exploratory_Robust",0.644715503524246,0.644715503524246,0.956124028193965,0.956124028193965,0.58,0.284,0.296,0.579446479467943,0.512534818941504,0.639473684210526,"Consistent_3_of_3",1,0.296,0.58,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408943100704849,0,0,0.408943100704849,0.650850426233486,0.749414651057274,268
327,"SEZ6L2",0.562658583550284,"Tier_3_Exploratory_Robust",0.644642129658784,0.644642129658784,1.12033703727027,1.12033703727027,0.451,0.129,0.322,0.453297476371637,0.413157894736842,0.479108635097493,"Consistent_3_of_3",1,0.322,0.451,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408928425931757,0,0,0.408928425931757,0.630224745380574,0.723592638897635,269
193,"YIF1A",0.611829577263345,"Tier_3_Exploratory_Robust",0.644317837776142,0.644317837776142,0.749742702209136,0.749742702209136,0.748,0.493,0.255,0.734353669388196,0.607913669064748,0.921052631578947,"Consistent_3_of_3",1,0.255,0.748,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408863567555228,0,0,0.408863567555228,0.67611124322165,0.782895351332843,270
204,"ARF3",0.60384779669266,"Tier_3_Exploratory_Robust",0.642720383931182,0.642720383931182,0.778563071449458,0.778563071449458,0.684,0.391,0.293,0.677354688599216,0.587743732590529,0.818421052631579,"Consistent_3_of_3",1,0.293,0.684,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408544076786236,0,0,0.408544076786236,0.670352134375914,0.769616115179355,271
278,"YIPF6",0.579786616589484,"Tier_3_Exploratory_Robust",0.642247224084033,0.642247224084033,0.973177792672262,0.973177792672262,0.58,0.307,0.273,0.574898685361929,0.525179856115108,0.636842105263158,"Consistent_3_of_3",1,0.273,0.58,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408449444816807,0,0,0.408449444816807,0.645386528429412,0.74867416722521,272
337,"ABHD12",0.559352323504463,"Tier_3_Exploratory_Robust",0.641641611087143,0.641641611087143,1.12833288869714,1.12833288869714,0.478,0.203,0.275,0.461607667391962,0.287769784172662,0.578947368421053,"Consistent_3_of_3",1,0.275,0.478,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408328322217429,0,0,0.408328322217429,0.6251745638805,0.728092483326143,273
201,"SDF2L1",0.604775596303466,"Tier_3_Exploratory_Robust",0.641502610335347,0.641502610335347,0.754420882682773,0.754420882682773,0.689,0.392,0.297,0.69040718165828,0.551532033426184,0.789473684210526,"Consistent_3_of_3",1,0.297,0.689,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408300522067069,0,0,0.408300522067069,0.671725913617371,0.770250783100604,274
238,"BLVRA",0.594334426755152,"Tier_3_Exploratory_Robust",0.641065702066952,0.641065702066952,0.835725616535616,0.835725616535616,0.644,0.355,0.289,0.622130432291024,0.370503597122302,0.782729805013928,"Consistent_3_of_3",1,0.289,0.644,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.40821314041339,0,0,0.40821314041339,0.660972995723433,0.761119710620086,275
232,"GAMT",0.595879908102804,"Tier_3_Exploratory_Robust",0.64078577254308,0.64078577254308,0.806286180344643,0.806286180344643,0.627,0.304,0.323,0.612791977237738,0.471223021582734,0.771052631578947,"Consistent_3_of_3",1,0.323,0.627,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.408157154508616,0,0,0.408157154508616,0.664275020390078,0.757635731762924,276
240,"LAMP2",0.593491273599261,"Tier_3_Exploratory_Robust",0.635643237367238,0.635643237367238,0.776345898937901,0.776345898937901,0.657,0.371,0.286,0.651361344585086,0.600719424460432,0.721052631578947,"Consistent_3_of_3",1,0.286,0.657,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.407128647473448,0,0,0.407128647473448,0.661075133078533,0.762092971210171,277
