"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag","strong_candidate","strong_3sample","review_category","final_review_status","pathway_support_score","biological_relevance_score","consistency_penalty","review_penalty","final_biological_score","tumor_priority_score","OXPHOS_priority_score","final_panel_rank","final_review_class"
36,"UQCR10",0.68245030629408,"Tier_2_OXPHOS",0.685026324311889,0.685026324311889,0.837010594495108,0.837010594495108,0.964,0.776,0.188,0.964983052408682,0.936842105263158,0.983286908077994,"Consistent_3_of_3",1,0.188,0.964,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.497005264862378,0,0,0.497005264862378,0.720159213509161,0.878307897293567,22,"Mitochondrial_OXPHOS"
29,"NDUFB7",0.689624893148779,"Tier_2_OXPHOS",0.684980285276756,0.684980285276756,0.74224228221405,0.74224228221405,0.931,0.651,0.28,0.931520427991282,0.928947368421053,0.935251798561151,"Consistent_3_of_3",1,0.28,0.931,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.496996057055351,0,0,0.496996057055351,0.731943099846865,0.871694085583027,23,"Mitochondrial_OXPHOS"
34,"NDUFB9",0.683514994591374,"Tier_2_OXPHOS",0.682063756237649,0.682063756237649,0.787710049901196,0.787710049901196,0.97,0.772,0.198,0.969924362518488,0.955263157894737,0.983286908077994,"Consistent_3_of_3",1,0.198,0.97,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.49641275124753,0,0,0.49641275124753,0.722322314683177,0.878619126871295,25,"Mitochondrial_OXPHOS"
31,"NDUFB10",0.684466735445208,"Tier_2_OXPHOS",0.681885747721626,0.681885747721626,0.751085981773012,0.751085981773012,0.925,0.66,0.265,0.924405445589284,0.899721448467967,0.952631578947368,"Consistent_3_of_3",1,0.265,0.925,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.496377149544325,0,0,0.496377149544325,0.726660011702569,0.869565724316488,26,"Mitochondrial_OXPHOS"
45,"UQCRH",0.675785282088052,"Tier_2_OXPHOS",0.679926562090905,0.679926562090905,0.841012496727239,0.841012496727239,0.971,0.818,0.153,0.970596605840969,0.956834532374101,0.994428969359331,"Consistent_3_of_3",1,0.153,0.971,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.495985312418181,0,0,0.495985312418181,0.712774296731817,0.878177968627271,29,"Mitochondrial_OXPHOS"
94,"NDUFS2",0.650355760092151,"Tier_2_OXPHOS",0.676793320495267,0.676793320495267,0.956746563962134,0.956746563962134,0.761,0.486,0.275,0.756159142470513,0.683453237410072,0.871866295264624,"Consistent_3_of_3",1,0.275,0.761,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.495358664099053,0,0,0.495358664099053,0.694077662173343,0.83523799614858,32,"Mitochondrial_OXPHOS"
74,"NDUFA12",0.66182174262231,"Tier_2_OXPHOS",0.67501065194601,0.67501065194601,0.822485215568076,0.822485215568076,0.785,0.459,0.326,0.776931851381525,0.690647482014389,0.821727019498607,"Consistent_3_of_3",1,0.326,0.785,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.495002130389202,0,0,0.495002130389202,0.708453728181104,0.839503195583803,33,"Mitochondrial_OXPHOS"
49,"NDUFA1",0.675077224677425,"Tier_2_OXPHOS",0.67348070392601,0.67348070392601,0.735045631408079,0.735045631408079,0.926,0.694,0.232,0.926038345397571,0.902631578947368,0.958217270194986,"Consistent_3_of_3",1,0.232,0.926,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.494696140785202,0,0,0.494696140785202,0.717318246374104,0.867244211177803,34,"Mitochondrial_OXPHOS"
102,"NDUFA8",0.647985164378658,"Tier_2_OXPHOS",0.671864627090596,0.671864627090596,0.90451701672477,0.90451701672477,0.744,0.444,0.3,0.736628981523768,0.643884892086331,0.813370473537604,"Consistent_3_of_3",1,0.3,0.744,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.494372925418119,0,0,0.494372925418119,0.693952619481709,0.830359388127179,35,"Mitochondrial_OXPHOS"
41,"IDH2",0.677867804054534,"Tier_2_OXPHOS",0.670927365297269,0.670927365297269,0.660218922378154,0.660218922378154,0.908,0.624,0.284,0.901316097100329,0.838129496402878,0.960526315789474,"Consistent_3_of_3",1,0.284,0.908,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.494185473059454,0,0,0.494185473059454,0.723224577854044,0.862878209589181,37,"Mitochondrial_OXPHOS"
55,"NDUFB4",0.672060477631703,"Tier_2_OXPHOS",0.669011888572467,0.669011888572467,0.723295108579735,0.723295108579735,0.96,0.777,0.183,0.959491881644955,0.944736842105263,0.98050139275766,"Consistent_3_of_3",1,0.183,0.96,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.493802377714493,0,0,0.493802377714493,0.712754161000363,0.87270356657174,38,"Mitochondrial_OXPHOS"
68,"NDUFA7",0.665890917795199,"Tier_2_OXPHOS",0.662635773493152,0.662635773493152,0.651486187945216,0.651486187945216,0.868,0.58,0.288,0.872488035081391,0.839473684210526,0.91726618705036,"Consistent_3_of_3",1,0.288,0.868,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.49252715469863,0,0,0.49252715469863,0.713122520722603,0.852390732047946,40,"Mitochondrial_OXPHOS"
62,"NDUFS6",0.667746100131695,"Tier_2_OXPHOS",0.662463999645813,0.662463999645813,0.640511997166507,0.640511997166507,0.889,0.616,0.273,0.887149538542454,0.866295264623955,0.921052631578947,"Consistent_3_of_3",1,0.273,0.889,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.492492799929163,0,0,0.492492799929163,0.714262399876034,0.856539199893744,42,"Mitochondrial_OXPHOS"
138,"NDUFS3",0.633010436249248,"Tier_2_OXPHOS",0.659863118127973,0.659863118127973,0.866104945023785,0.866104945023785,0.685,0.362,0.323,0.674962302552035,0.550359712230216,0.777158774373259,"Consistent_3_of_3",1,0.323,0.685,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.491972623625595,0,0,0.491972623625595,0.682552091344791,0.814958935438392,43,"Mitochondrial_OXPHOS"
184,"NDUFV1",0.614697415224058,"Tier_2_OXPHOS",0.657756162644686,0.657756162644686,0.99804930115749,0.99804930115749,0.621,0.327,0.294,0.597444325729857,0.345323741007194,0.786842105263158,"Consistent_3_of_3",1,0.294,0.621,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.491551232528937,0,0,0.491551232528937,0.66321465692564,0.801526848793406,46,"Mitochondrial_OXPHOS"
312,"IDH1",0.566720259589589,"Tier_2_OXPHOS",0.652815585137174,0.652815585137174,1.33292468109739,1.33292468109739,0.418,0.155,0.263,0.415142209645273,0.370503597122302,0.498607242339833,"Consistent_3_of_3",1,0.263,0.418,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.490563117027435,0,0,0.490563117027435,0.614685454798011,0.759444675541152,48,"Mitochondrial_OXPHOS"
116,"COX7A2L",0.643668867594856,"Tier_2_OXPHOS",0.65100144050133,0.65100144050133,0.710411524010644,0.710411524010644,0.837,0.613,0.224,0.835196285135797,0.784210526315789,0.919220055710306,"Consistent_3_of_3",1,0.224,0.837,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.490200288100266,0,0,0.490200288100266,0.690050504175465,0.842700432150399,49,"Mitochondrial_OXPHOS"
83,"NDUFA6",0.653661511659396,"Tier_2_OXPHOS",0.649629397170681,0.649629397170681,0.609835177365444,0.609835177365444,0.884,0.651,0.233,0.883943752489578,0.847368421052632,0.930362116991644,"Consistent_3_of_3",1,0.233,0.884,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Mitochondrial_OXPHOS","Standard",4,0.489925879434136,0,0,0.489925879434136,0.700770289009738,0.851688819151204,50,"Mitochondrial_OXPHOS"
