gene,coefficient,test_sample
H1-2,0.1858084106232734,BC11
CHCHD10,0.1894560382635341,BC11
DBI,0.12400950579711294,BC11
SLC9A3R1,0.10389667471241347,BC11
MPC2,-0.09646277688463774,BC11
FKBP4,0.01198497678505284,BC11
PRSS23,0.044972985867702146,BC11
GLRX5,0.22527514268738003,BC11
FCGRT,0.20373618606121263,BC11
HSPA1A,0.027994740382000394,BC11
TMEM160,0.09900217104000747,BC11
NDUFAB1,0.13882376697277451,BC11
GATA3,-0.24607995751533335,BC11
ATP5MC3,-0.09429489814779105,BC11
COX7B,-0.16350211495452618,BC11
NUCB2,0.08721465119081252,BC11
HSBP1,0.04541127455977667,BC11
HSPE1,0.016400438156208334,BC11
HERPUD1,-0.08073944048276085,BC11
ATP6AP2,0.08886790777724762,BC11
ATP5F1A,-0.028299694832242376,BC11
COX8A,-0.07489187776764047,BC11
H2AJ,0.03605528699458253,BC11
TMEM230,0.15080025001823485,BC11
RETREG1,0.3076334524597222,BC11
GPX1,0.0095170932507863,BC11
ATP5PD,-0.16225637040708782,BC11
COX5B,-0.17853828975883165,BC11
NDUFB7,-0.07274116055061913,BC11
ETFB,0.29935724273967895,BC11
NDUFB10,-0.05526128437474991,BC11
COX5A,-0.17692043054712947,BC11
CST3,-0.2628189584462187,BC11
NDUFB9,-0.12625947118017739,BC11
MDH2,-0.031126164595275917,BC11
UQCR10,-0.2935412739078757,BC11
ATP5F1B,-0.10012465994007035,BC11
DCAF6,-0.04653398974426452,BC11
CYC1,0.08246325107354091,BC11
NDUFB5,0.12542680239555545,BC11
IDH2,-0.01293419118166789,BC11
PRDX2,-0.20030771068318973,BC11
CKB,0.19819547062399875,BC11
GABARAPL2,0.05387065137946894,BC11
UQCRH,-0.2417639649044788,BC11
CLU,-0.10603327546441033,BC11
EPN3,0.14183988082172638,BC11
C18orf32,-0.06740524709189925,BC11
NDUFA1,-0.1545989177177447,BC11
FXYD3,-0.16334142446900132,BC11
PEBP1,-0.14329005039078369,BC11
CLDN3,-0.039188334882424854,BC11
HSPD1,-0.08012988013368554,BC11
NDUFAF3,0.16923553430193883,BC11
NDUFB4,-0.073583273852349,BC11
COX14,-0.07841875531673088,BC11
PBX1,-0.13872875104191437,BC11
ATP5ME,-0.21696738071523997,BC11
SLC39A6,-0.07317793496282564,BC11
CKS2,0.12937726207418074,BC11
DYNLRB1,-0.07755564089300129,BC11
NDUFS6,0.020980168873259573,BC11
STARD10,-0.03542826003985209,BC11
TBC1D9,0.10188548497588903,BC11
PAFAH1B3,0.03972841268139179,BC11
ATP5MC1,-0.03979273439829538,BC11
SELENOP,0.0010315467420159638,BC11
NDUFA7,-0.11694535386464248,BC11
PRKAR1A,-0.08472619576172437,BC11
RBBP7,0.09289635198154997,BC11
SCD,0.17043704875267562,BC11
MORF4L2,-0.13820904270530257,BC11
ATP6AP1,0.11374718333520095,BC11
NDUFA12,0.059457225434306565,BC11
TOMM6,0.037998421780673565,BC11
C1orf43,-0.13372828120182498,BC11
COX17,-0.13322621559633108,BC11
BEX3,-0.06342109582810543,BC11
GTF2I,-0.006686290771088659,BC11
PRDX5,-0.11768830990538912,BC11
VAMP8,-0.18139981428964722,BC11
ACO2,0.05138150456629449,BC11
NDUFA6,-0.1487803043762087,BC11
IGFBP4,-0.05799955334330051,BC11
ERP29,-0.17155248971499282,BC11
MZT2B,-0.04464698019164838,BC11
NQO1,0.023798681316966015,BC11
HACD3,-0.1946808784023158,BC11
MRPL27,0.011354714854053649,BC11
MAGED2,-0.16991224403516994,BC11
DYNLL1,-0.09274914791240091,BC11
HINT2,-0.03696434491141938,BC11
ESR1,-0.087498951324035,BC11
NDUFS2,-0.17010326864145534,BC11
MRPS7,0.10670122568321982,BC11
TEX264,0.15689558734768072,BC11
CALR,-0.17100984877869585,BC11
CAPG,-0.03426956746105084,BC11
BANF1,0.14522879682821405,BC11
SSR3,-0.004513404913204533,BC11
ANAPC11,-0.010296237556716603,BC11
NDUFA8,0.061278548048174925,BC11
CERS2,-0.1725417685348701,BC11
NAXE,-0.001672225371610301,BC11
MRPS26,-0.07143057776555597,BC11
TMED2,0.04765022052833362,BC11
RSBN1L,-0.015087732861470632,BC11
NDUFB1,-0.1937948392453523,BC11
TM7SF2,0.17587773090963685,BC11
SNF8,0.09006298846277866,BC11
CANX,-0.008197089496592768,BC11
SRI,-0.02192075907363788,BC11
TMEM14B,0.044187122059995615,BC11
SELENOT,0.08493198869070834,BC11
ARL6IP4,-0.05626277961557175,BC11
COX7A2L,-0.1896656273485817,BC11
SNHG25,0.07504039996896714,BC11
GASK1B,0.30512242991779304,BC11
YWHAQ,-0.14227509451804052,BC11
MRPS24,-0.020598059688995703,BC11
NDUFB8,-0.20516820424019208,BC11
SMDT1,-0.07346329759644063,BC11
DNPH1,0.1128051598576586,BC11
MRPS12,0.11726971246199122,BC11
NENF,-0.1890897553375967,BC11
H2BC5,0.12440333013345925,BC11
SARAF,-0.06251220179895414,BC11
TECR,-0.1573881870320818,BC11
TSPAN13,0.04876162806173002,BC11
COPS9,-0.11979877273765377,BC11
PCBD1,-0.14548401711789313,BC11
PMVK,-0.013689326453983661,BC11
CSAD,-0.022067634839434976,BC11
APRT,-0.14071811782793398,BC11
RTN3,-0.027708776872253323,BC11
MRPL23,0.08057709094956804,BC11
CMTM6,-0.013593445265703845,BC11
NDUFS3,-0.01762613791511123,BC11
PLAAT3,0.23106138103120102,BC11
PCMTD1,0.03329056063697364,BC11
GADD45GIP1,-0.010039075516305602,BC11
MRPS34,-0.010981989246595873,BC11
TNNT1,0.3788486182370924,BC11
MRPL12,0.1976945777955881,BC11
HPN,0.15156519606087554,BC11
P4HTM,0.038856581040111984,BC11
CTSF,0.2729180340706741,BC11
GCSH,0.0837994550779225,BC11
MRPL57,-0.10735050026895902,BC11
MRPS23,-0.03440559284577861,BC11
MRFAP1,-0.277355450478797,BC11
PTMS,-0.0637846641101037,BC11
ATP5PB,-0.048543759094809465,BC11
GHITM,-0.10100952762900672,BC11
PIGT,-0.05550472237157667,BC11
PTGES3,-0.1305908496273099,BC11
TRMT112,-0.17573323849952605,BC11
TOB1,-0.1421484264036675,BC11
PHPT1,-0.10243637365660056,BC11
EGR1,0.16465658919802062,BC11
NDUFAF8,0.0008208718401497362,BC11
AHCYL1,0.030822770022079303,BC11
CALM3,0.1041329072559539,BC11
ZCRB1,-0.002899986646944296,BC11
RERG,0.14436427366304583,BC11
NDUFS7,0.03210584097012174,BC11
SCAND1,-0.06396878616284564,BC11
SEC11C,0.06318417931617971,BC11
NDUFB6,0.05001622737982073,BC11
GGA2,0.0446890107223047,BC11
COA3,0.01136028287900189,BC11
UGCG,0.03567636615877806,BC11
PXMP2,0.24375369041494568,BC11
SELENOW,-0.1916305169032541,BC11
TMEM14A,0.17808302449385371,BC11
PPP1CA,0.0637117128622523,BC11
DDRGK1,-0.08859547332904975,BC11
MRPL24,0.054252856593900445,BC11
MRPL40,0.08642922492300116,BC11
BTG2,-0.46757741502298483,BC11
MAST4,0.12250008494045075,BC11
MICOS13,-0.05593492658321389,BC11
RWDD4,0.1555226248196849,BC11
NDUFV1,0.12873866775176532,BC11
UQCC3,-0.018898355237134172,BC11
LSM4,-0.09981028502770257,BC11
H2BC21,0.039559301639989955,BC11
RPN2,-0.13055865484700677,BC11
MIEN1,-0.0870413998615531,BC11
AMZ2,0.03199133073864598,BC11
ANAPC16,-0.24063121388256453,BC11
MZT2A,-0.3246810746897496,BC11
YIF1A,0.03706346545343845,BC11
C11orf58,-0.15767858804819046,BC11
PDHB,0.12258495571243017,BC11
TRAPPC6A,0.03487727719828908,BC11
FDPS,-0.22913515246239674,BC11
DCXR,-0.06207278600779634,BC11
CMBL,0.0916713149081643,BC11
DHRS7,-0.008901463345607718,BC11
SDF2L1,0.07602375823050805,BC11
GTF3A,-0.00404294989683231,BC11
H2AC6,-0.039258095255344065,BC11
ARF3,0.013441827674498263,BC11
BLVRB,-0.14381009669719402,BC11
CRNDE,-0.1911190257227142,BC11
CYB561,-0.11227698911204365,BC11
DUT,0.07220497119223972,BC11
CHCHD5,-0.14036628910175286,BC11
ST13,-0.10665842983193582,BC11
TMEM134,0.16988676085815044,BC11
GALNT1,0.055510155624857706,BC11
TMEM9B,0.04237107550041606,BC11
FOXA1,-0.046099342560638266,BC11
RNF139,0.14295314536187273,BC11
DDT,-0.045587378304163755,BC11
TOMM22,-0.049938493800325855,BC11
COMT,-0.06564973001898877,BC11
HSD17B10,-0.13519189283586736,BC11
SELENOS,-0.31866187590253486,BC11
PPCS,-0.012911780564511834,BC11
CACYBP,0.04632883470665529,BC11
GNG10,-0.03391519735236908,BC11
POLD4,-0.12157106684599353,BC11
POLR2F,0.07594451791169461,BC11
BPTF,-0.08259156781238014,BC11
CISD3,0.032983677954597834,BC11
TMEM141,-0.013926414917370056,BC11
ECH1,-0.20892485272360678,BC11
SYAP1,0.14295268633796873,BC11
SORD,0.08881435832536393,BC11
GAMT,0.04616342606502826,BC11
GADD45G,0.30413214003316696,BC11
DGCR6L,0.07047098852900963,BC11
MCRIP2,0.0240998355793519,BC11
MARCHF6,0.04414601283226275,BC11
HEBP1,0.00034160857122119206,BC11
BLVRA,0.026439371532172684,BC11
MTCH1,-0.11061956710035079,BC11
LAMP2,-0.08344489757122302,BC11
FOSB,-0.1042728143842019,BC11
PNPLA4,0.20234030424790345,BC11
PNKD,-0.03426235929266442,BC11
MDH1,-0.06671304213714399,BC11
SHARPIN,0.09567558580579491,BC11
SDHB,0.027364194869420447,BC11
TPD52L1,0.044829160830005876,BC11
YIPF3,0.029867510359020272,BC11
RABAC1,-0.10563806597089015,BC11
MRPL36,-0.0066642812166194205,BC11
TCEAL1,0.039166992106140365,BC11
NDUFA10,-0.08152865342300582,BC11
PRLR,0.03352814099590616,BC11
PHF14,0.013738787394105246,BC11
SUPT4H1,-0.09432656935467283,BC11
PRXL2A,-0.054860466678428386,BC11
CCDC167,0.1672402942795365,BC11
BAD,0.16457808926649564,BC11
SPDEF,-0.03762442817796579,BC11
MRPS18A,0.14373556600945897,BC11
BSCL2,-0.031203932954674597,BC11
LASP1,0.05206725482529413,BC11
MRPL21,0.1703202222238748,BC11
NR2F6,0.01829286735420276,BC11
NORAD,0.03471228639170712,BC11
ERLEC1,-0.029373193084909578,BC11
ACSF2,-0.08339476725015886,BC11
EIF2AK1,0.11278877340851916,BC11
RHBDD2,0.07342559281687693,BC11
EMC10,-0.07147726946283392,BC11
TSC22D3,-0.08142545262977485,BC11
RBM47,-0.11657184069987188,BC11
SERINC3,-0.07383441598272197,BC11
