metric,mean,std
roc_auc,0.24077711089640452,0.06724528644806659
pr_auc,0.7651247129639661,0.26160549426656005
accuracy,0.16005773092061973,0.20831178208524812
precision,0.0,0.0
recall,0.0,0.0
specificity,1.0,0.0
f1,0.0,0.0
