test_sample,n_test_cells,malignant_test_cells,diploid_test_cells,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1
BC11,461,278,183,0.3178637417934505,0.4786729937462143,0.3969631236442516,0.0,0.0,1.0,0.0
BC12,412,380,32,0.1941611842105263,0.825305439974074,0.07766990291262135,0.0,0.0,1.0,0.0
BC17,361,359,2,0.21030640668523676,0.9913957051716097,0.00554016620498615,0.0,0.0,1.0,0.0
