"seurat_clusters","cell_type","cells","epithelial_score","luminal_score","basal_score","immune_score","stromal_score","endothelial_score"
"0","Luminal_Epithelial",5301,0.268985400846261,0.403772425243869,-0.0193393293021762,-0.195536524194937,-0.0175024220342476,-0.0161783226496887
"1","Luminal_Epithelial",4497,0.254361857543832,0.338527432180142,-0.0112021401473533,-0.118155296315371,-0.013517519267197,-0.00897887487126445
"2","Basal_Like_Epithelial",4197,0.39444386255325,0.492772526726706,0.029384062352722,-0.146002522489884,-0.0374214675488219,-0.0126790621358146
"3","Luminal_Epithelial",2234,0.182700836824792,0.255733613016566,-0.010832689721536,-0.0853050186455054,-0.0170824814466398,-0.0101008304973226
"4","T_Cells",1852,-0.167964257909358,-0.285124259040924,-0.0232605700653838,0.289632895573609,-0.0300080109946496,-0.0139029956276923
"5","Cytotoxic_NK_T",1757,-0.173489094398142,-0.303024988737657,-0.0260743693733429,0.612379948871675,-0.0271983796672893,-0.0140618703381099
"6","Cycling_Proliferating",1183,0.258259701966561,0.315314905574747,-0.0101145324221389,-0.18147421374435,-0.0173538103910469,-0.014864490988545
"7","Fibroblast_CAF",1132,-0.245970413592822,-0.422360367630785,-0.0628085291778433,-0.339919203767547,1.06625838731404,-0.0196553441316165
"8","Specialized_Epithelial",983,0.310184533439709,0.40816920198251,-0.018964539623323,-0.186436244006635,-0.036664165279991,-0.0121364740427937
"9","Macrophages",570,-0.220109810836714,-0.398949914607284,-0.0327650312869855,0.937094288020793,-0.0289227919732838,-0.0180188986583528
"10","Endothelial",260,-0.213602864090365,-0.372528425137013,-0.033459767640061,-0.146416449592494,-0.0321789681982656,0.601313719411818
"11","B_Cells",247,-0.130094293516003,-0.268747650357717,-0.0177969242407261,0.477588555715995,-0.0235572466803636,-0.0106775530343163
"12","Basal_Epithelial",184,0.704351539523256,0.317548916515083,0.782240820113439,-0.1195894055579,-0.0244145643844332,-0.0155289878450292
"13","Luminal_Epithelial",178,0.311038687243541,0.345751793702763,-0.0220163584583142,-0.189955289139703,-0.0309820761502169,-0.0123799327437287
