"nFeature_Q01","nFeature_Q05","nFeature_Q10","nFeature_median","nFeature_Q90","mt_Q90","mt_Q95","mt_Q99","sample_id"
129.86,299.9,494,1181,3283.2,10.4315127614945,20.0489400202533,76.5800123322108,"BC03"
71,198,272.8,1348,2910,29.100948131623,45.1308016877637,89.0130028399508,"BC05"
60,89,125,1180,3547.2,83.1805568498328,88.9621968807467,93.4846030434149,"BC06"
227,345.7,406,1608,3998.4,23.9355566614628,35.2556777432465,60.726666437603,"BC08"
139.08,248.8,342,991,3764.2,34.7153804050356,55.9299733613677,76.9122064255546,"BC11"
74,186,423.9,2666,4817.7,24.2015940964831,74.810334554771,92.1139021547024,"BC12"
112.86,161,298,981,3375.8,51.4702639996776,84.2326958189631,92.2766721754776,"BC14"
143,356,561,2179.5,3581.3,13.5240048544849,33.5833234030991,74.670223162561,"BC15"
56,78,238.6,1504,3206.4,73.5691422551761,91.8619258841615,96.0893758070313,"BC17"
